,r0
Austria,1.6724460440227904
Belgium,1.3639322360854305
Bulgaria,0.9715438920224839
Croatia,1.2178139876476628
Cyprus,0.24033493261263464
Czech Republic,2.858754964984368
Denmark,2.3163771118596688
Estonia,2.4243044832049723
Finland,1.69466680190985
France,2.2090859208280422
Germany,0.968446068139246
Greece,0.9744704144622393
Hungary,3.4999999999932436
Ireland,1.5135835321592823
Italy,1.8336090293220904
Latvia,1.6497816822805385
Lithuania,0.9382350581019845
Luxembourg,5.217876069252869e-32
Malta,0.7902223300527318
Netherlands,1.90320259044507
Poland,0.4610041460047202
Portugal,2.070400754446539
Romania,1.077188439067851
Slovakia,2.0253924433708312
Slovenia,1.9542697116343546
Spain,1.6102444094979607
Sweden,0.2564296499766524
