Country,TotDays,TotPopLock,Population
Austria,947888925,8858775,8858775
Belgium,1043597780,11455519,11455519
Bulgaria,0,0,7000039
Croatia,408439849,4076246,4076246
Cyprus,0,0,875899
Czech Republic,1583625260,10649800,10649800
Denmark,714728571,5806081,5806081
Estonia,162555414,1324820,1324820
Finland,216854216,5517919,5517919
France,10045231161,67012883,67012883
Germany,0,0,83019213
Greece,0,0,10724599
Hungary,1404345037,9772756,9772756
Ireland,411956160,4904240,4904240
Italy,5812624279,60359546,60359546
Latvia,32639456,1919968,1919968
Lithuania,0,0,2794184
Luxembourg,0,0,613894
Malta,0,0,493559
Netherlands,2035838801,17282163,17282163
Poland,0,0,37972812
Portugal,1216751452,10276617,10276617
Romania,914420971,0,19414458
Slovakia,561938405,0,5450421
Slovenia,208715072,2080908,2080908
Spain,7035865294,46937060,46937060
Sweden,0,0,10230185
