Country,TotDays,TotPopLock,Population
Switzerland,244924156,2065495,7721946
Italy,2484230924,39357441,60359546
Norway,261203451,2728808,5829828
Finland,179885772,1505269,5937605
Romania,293024871,6503532,20666934
Portugal,736237896,8605071,10246204
Spain,3720481605,30889057,46937060
United Kingdom,4006979377,30960915,53463801
Germany,333823013,5919116,83019213
Slovakia,308283765,4275349,5426340
Hungary,1026075252,9772756,19545512
Croatia,154249644,1452664,4121540
Bulgaria,103115757,1216933,7019588
Sweden,57062558,1080548,10230185
France,0,0,14227948
Belgium,181123592,0,11337950
Austria,391167749,4904225,8745532
Cyprus,0,0,875899
Poland,0,0,38286620
Netherlands,836814649,10855612,16193116
Iceland,9313391,24532,305606
Estonia,93929738,1324820,1324820
Denmark,0,0,5885240
Slovenia,11142982,0,1633656
Ireland,84843352,4904240,4904240
Czech Republic,994057810,6569957,10619735
Latvia,0,0,1919968
Lithuania,0,0,2794184
Luxembourg,0,0,613894
Malta,0,0,493559
Montenegro,71115402,622182,622182
North Macedonia,0,0,2077132
Serbia,0,0,6963764
Turkey,0,0,82003882
