Country,TotDays,TotPopLock,Population
Austria,151040283,0,1897491
Belgium,55888063,3629095,3629095
Bulgaria,7966099,118897,118897
Croatia,8798544,105120,105120
Cyprus,0,0,875899
Czech Republic,105471386,820789,820789
Denmark,0,0,1223348
Estonia,123473224,0,1324820
Finland,35685930,403687,403687
France,0,0,5048405
Germany,11572983,2143145,2143145
Hungary,30760196,0,268648
Ireland,84843352,4904240,4904240
Italy,343409779,0,4905854
Latvia,0,0,1919968
Lithuania,0,0,2794184
Luxembourg,0,0,613894
Malta,0,0,493559
Netherlands,30948985,383032,383032
Poland,0,0,1307061
Portugal,389411547,0,3572583
Romania,13687306,350059,350059
Slovakia,69416336,0,689338
Slovenia,2341138,56962,56962
Spain,152782990,1487663,1487663
Sweden,22202142,0,461583
