Country,TotDays,TotPopLock,Population
Austria,235099134,1897491,1897491
Belgium,91453194,0,3629095
Bulgaria,15385271,118897,118897
Croatia,13928400,105120,105120
Cyprus,0,0,875899
Czech Republic,113350960,0,820789
Denmark,0,0,1223348
Estonia,123473224,0,1324820
Finland,44567044,403687,403687
France,0,0,5048405
Germany,145519545,2143145,2143145
Hungary,37100288,268648,268648
Ireland,84843352,4904240,4904240
Italy,648063313,4905854,4905854
Latvia,0,0,1919968
Lithuania,0,0,2794184
Luxembourg,0,0,613894
Malta,0,0,493559
Netherlands,38724535,383032,383032
Poland,0,0,1307061
Portugal,413705111,3572583,3572583
Romania,38226442,0,350059
Slovakia,83961368,689338,689338
Slovenia,6055060,0,56962
Spain,207826521,1487663,1487663
Sweden,54974535,461583,461583
