,r0
Aargau,0.8975946920256096
Abruzzo,1.5200716999539208
Adygea,1.2560179365847879
Agder,0.773664202014007
Ahvenanmaa,0.7864567010921599
Alba,1.2386562120877038
Alentejo,1.0699082274383587
Algarve,1.1287139160002357
Altai,0.57397118669041
Amur,1.893122652038929
Andalucía,1.7818123097182053
Andorra,1.931257427535301
Appenzell Ausserrhoden,0.2549795120126438
Appenzell Innerrhoden,3.4999999999999964
Arad,1.2658184885065147
Aragón,0.5691829386344085
Argeș,0.2592220106644354
Arkhangelsk,0.9229216730418959
Astrakhan,1.2914107473464675
Ayrshire and Arran,2.9525252546135334
Açores,1.0473503323012534
Bacău,1.5982965069162616
Baden-Württemberg,1.1505830951201923
Banská Bystrica,3.499999999770537
Baranya,3.4999999999997917
Basel City,0.41628158207213767
Basel Country,0.8791965984069904
Bashkortostan,0.8414836444838975
Basilicata,3.209298896893556
Bayern,1.388894376777096
Belarus,1.4553786454580682
Belgorod,0.884021533431382
Berat,1.0844831885926984
Berlin,1.3712313568727212
Bern,1.8148906728348935
Bihor,0.8750287333052974
Bistrița-Năsăud,1.5577287705178868
Bjelovarsko-bilogorska,3.4999999999999822
Blagoevgrad,1.193618517753958
Blekinge,0.1539545008715612
Bolzano,1.0446224819382992
Borders,2.4865861844518613
Borsod-Abaúj-Zemplén,3.4999999999996434
Bosnia and Herzegovina,0.8979044642096585
Botoșani,1.3042972367489698
Brandenburg,0.6792548771146135
Bratislava,1.8479914129070651
Brașov,1.014570085366582
Bremen,1.091790186383274
Bretagne,0.9
Brodsko-Posavska,1.2938166416762018
Brussels,1.2602441263779087
Bryansk,1.4482209555876306
Brăila,1.0293094722205027
București,1.2230608701902776
Budapest,3.4999999999999996
Burgas,3.149857522877435
Burgenland,2.571986815799023
Buryatia,1.3406181871007206
Buzău,0.5602958346707864
Bács-Kiskun,3.4999999999999982
Békés,3.4999999999860165
Calabria,2.425074376201252
Campania,2.184828837950412
Canarias,1.960244216213953
Cantabria,2.049858913106934
Caraș-Severin,2.2904564880007388
Castilla y León,1.7513333218211844
Castilla-La Mancha,2.4050346123660633
Cataluña,1.2626913191944902
Centro,3.499999632418296
Chechnya,1.070383648422037
Chelyabinsk,0.8188128695191371
Chukotka,0.27242067916095764
Chuvashia,0.7641227194922031
Ciudad Autónoma de Ceuta,1.9527360862450123
Ciudad Autónoma de Melilla,2.5302922150697125
Cluj,1.1912602824354046
Comunidad Foral de Navarra,2.0069966616425
Comunidad Valenciana,1.7325646351182327
Comunidad de Madrid,1.6518140145847973
Corse,0.9
Costanza,1.3898002754004508
Covasna,1.7672559039893168
Csongrád,3.4999999999999964
Cyprus,0.24033493261263464
Călărași,0.8678492990374722
Dagestan,1.3858558819170084
Dalarna,1.5152144618620382
Dibër,0.6979959589148014
Dobrich,0.5674676272172988
Dolj,0.9169591136395306
Dolnośląskie,0.7277735378387151
Drenthe,1.4401197509724026
Dubrovačko-neretvanska,2.7018059536236705
Dumfries and Galloway,3.0178520949590273
Durrës,0.4968388526166762
Dâmbovița,1.1000862099019553
East Iceland,1.38869764801841e-08
East of England,2.007264274428074
Elbasan,1.7375939561851488
Emilia-Romagna,1.6415174045692078
England,3.4999999856019
Estonia,2.4243044832049723
Etelä-Karjala,0.20762912725959828
Etelä-Pohjanmaa,0.3109131911307908
Etelä-Savo,3.499999999841248
Extremadura,2.353327720647453
Faroe,1.593253147603427e-21
Fejér,3.4999999999999996
Fier,1.306611882521761
Fife,2.6543237255855763
Flanders,1.472627749793233
Flevoland,1.860989854189514
Forth Valley,3.4999999999923417
Fribourg,2.2452604472636706
Friesland,0.28390501064422996
Friuli Venezia Giulia,1.7679947520105932
Gabrovo,0.06839648961948101
Galați,0.649766101299074
Galicia,1.5210186284010694
Gelderland,2.20900478426493
Geneva,1.6697770244988484
Giurgiu,1.7237648199347495
Gjirokastër,0.8141598488548172
Glarus,0.18702361329383108
Gorenjske,0.8042980317535559
Gorj,0.49428692532078583
Gotland,0.10773192379962188
Grad Zagreb,1.015427604178904
Grampian,0.15376243516531113
Graubünden,0.8672162305876474
Greater Glasgow and Clyde,3.4999999999998983
Greater Reykjavík,2.2199264762612003
Greenland,5.707493639900918e-17
Groningen,1.7470326573964545
Guadeloupe,0.9
Guyane,0.9
Győr-Moson-Sopron,3.499999999999999
Gävleborg,0.8606734241381179
HUS,1.4361845469256915
Hajdú-Bihar,3.4999999999999316
Halland,0.9596007943186453
Hamburg,1.9923223288788703
Harghita,2.273704266775095
Haskovo,1.005741788643389
Hessen,0.3482261576497817
Heves,3.4999999996343965
Highland,3.449499565167012
Hovedstaden,4.344964999209495e-09
Hunedoara,0.9009514046542533
Hungary,0.9
Ialomița,1.1119646302586343
Iași,2.0224721877732765
Ilfov,1.3205774019200693
Illes Balears,1.4580172908594327
Ingushetia,1.7652229026433048
Innlandet,1.634400783999307
Ireland,1.5135835321592823
Irkutsk,0.36121975587008653
Istarska,0.7544300794731141
Itä-Savo,3.499999999999653
Ivanovo,1.355097606015549
Jewish AO,2.8546158089877127
Jihoceský,2.8779444333738087
Jihomoravský,2.7838375322338886
Jura,3.4999999999992806
Jász-Nagykun-Szolnok,3.499999999953534
Jämtland,3.0355782991637983
Jönköping,1.6812702555752475
Kabardino-Balkaria,2.0921904095287625
Kainuu,2.8269022253453153
Kaliningrad,1.1903894832445423
Kalmar,0.17896479396718323
Kalmykia,1.8202350070787936
Kaluga,0.9939981439345887
Kamchatka,0.5754055245789256
Kanta-Häme,0.6228019699155058
Karachay-Cherkessia,2.462049518098716
Kardzhali,3.1277157786443204
Karlovarský,3.499999999999999
Karlovačka,0.7170814169218768
Kemerovo,0.8738915483208057
Keski-Pohjanmaa,1.974535287520045e-09
Keski-Suomi,2.797053748307904
Khabarovsk,0.6289316044774245
Khakassia,1.7100758427011686
Khanty-Mansi AO,0.8693042219908637
Kirov,1.1259367363645212
Komi Republic,0.9272012590366039
Komárom-Esztergom,3.4999999999999987
Koprivničko-križevačka,2.227699294479299
Korçë,0.954234187647307
Kostroma,0.6112328729813882
Košice,1.8346305746054934
Krapinsko-zagorska županija,2.1212037655511597
Krasnodar,1.0744468719670046
Krasnoyarsk,0.8703598470758274
Kronoberg,0.5518525034871327
Královéhradecký,3.253336369438072
Kujawsko-pomorskie,0.7907123586240508
Kukës,0.6492309804253098
Kurgan,1.0118397733262763
Kursk,0.8250218853333547
Kymenlaakso,3.4999999999999996
Kyustendil,3.4183312632108787
Kärnten,0.29649796482022667
La Rioja,1.5337242773436164
La Réunion,0.9
Lanarkshire,3.308054136195589
Lappi,0.19117434750556167
Latvia,1.6497816822805385
Lazio,1.3527304720072066
Leningrad,1.3716930489478951
Lezhë,1.1059847190943564
Liberecký,3.3388343619254828
Liechtenstein,3.4999999999962554
Liguria,2.7048386768285098
Limburg,1.243889761214331
Lipetsk,2.2084165282126023
Lisbon,1.8518310393661235
Lithuania,0.9382350581019845
Ličko-senjska,2.384060326669329
Lombardia,1.845756684063949
London,2.160309193051493
Lothian,2.7872762699004983
Lovech,0.40774752946945453
Lubelskie,1.2519883844873498
Lubuskie,1.1859238692424567
Lucerne,1.0131913521107767
Luxembourg,5.217876069252869e-32
Länsi-Pohja,0.013697068978683636
Madeira,1.3118356397573194
Magadan,2.076869994961661
Malta,0.7902223300527318
Maramureș,1.2042757485982358
Marche,1.934171168114352
Mari El,1.0168646568512305
Martinique,0.9
Mayotte,0.9
Mazowieckie,0.4927095418986948
Małopolskie,0.7610402326962621
Mecklenburg-Vorpommern,1.9000374558637387
Mehedinți,0.6625514012216804
Međimurska,1.6741018122202334
Midlands,3.2434995532585367
Midtjylland,7.23021361723221e-09
Moldova,0.9988805100300056
Molise,0.9786326327961926
Monaco,3.4999999999999996
Montana,2.3757058144460736
Montenegro,3.037720989681954
Moravskoslezský,1.574759021693336
Mordovia,0.9893743147590598
Moscow,1.030092984257757
Mureș,1.113268377028766
Murmansk,1.0644199802100083
