Country,TotDays,TotPopLock,Population
Austria,1327930372,8858775,8858775
Belgium,1717182298,11455519,11455519
Bulgaria,823204586,0,7000039
Croatia,611029275,4076246,4076246
Cyprus,0,0,875899
Czech Republic,1596405020,10649800,10649800
Denmark,870331541,5806081,5806081
Estonia,198590518,1324820,1324820
Finland,537997102,5517919,5517919
France,10045231161,67012883,67012883
Germany,2249820672,0,83019213
Greece,1607617390,10724599,10724599
Hungary,1464936124,9772756,9772756
Ireland,735145576,4904240,4904240
Italy,9047895945,60359546,60359546
Latvia,147453542,1919968,1919968
Lithuania,0,0,2794184
Luxembourg,0,0,613894
Malta,73984494,493559,493559
Netherlands,2590596233,17282163,17282163
Poland,0,0,37972812
Portugal,1540464888,10276617,10276617
Romania,2910227254,19414458,19414458
Slovakia,817018107,5450421,5450421
Slovenia,311928109,2080908,2080908
Spain,7035865294,46937060,46937060
Sweden,0,0,10230185
