Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-01-22,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-01-23,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-01-24,FRA,France,46.232193,2.209667,3,0,0,3,3,0,True,True,FR
2020-01-24,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-01-24,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-01-25,FRA,France,46.232193,2.209667,3,0,0,3,3,0,True,True,FR
2020-01-25,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-01-25,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-01-26,FRA,France,46.232193,2.209667,3,0,0,3,3,0,True,True,FR
2020-01-26,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-01-26,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-01-27,FRA,France,46.232193,2.209667,3,0,0,3,3,0,True,True,FR
2020-01-27,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-01-27,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-01-28,FRA,France,46.232193,2.209667,4,0,0,4,4,0,True,True,FR
2020-01-28,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-01-28,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-01-29,FRA,France,46.232193,2.209667,5,0,0,5,5,0,True,True,FR
2020-01-29,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-01-29,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-01-30,FRA,France,46.232193,2.209667,6,0,0,6,6,0,True,True,FR
2020-01-30,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-01-30,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-01-31,FRA,France,46.232193,2.209667,6,0,0,6,6,0,True,True,FR
2020-01-31,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-01-31,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-01-31,GBR,United Kingdom,54.633221,-3.432277,2,,,2,,,False,True,UK
2020-02-01,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-01,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-02,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-02,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-03,FRA,France,46.232193,2.209667,6,0,0,6,6,0,True,True,FR
2020-02-03,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-03,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-04,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-04,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-05,FRA,France,46.232193,2.209667,6,0,0,6,6,0,True,True,FR
2020-02-05,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-05,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-06,FRA,France,46.232193,2.209667,6,0,0,6,6,0,True,True,FR
2020-02-06,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-06,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-06,GBR,United Kingdom,54.633221,-3.432277,3,,,3,,,False,True,UK
2020-02-07,FRA,France,46.232193,2.209667,11,0,0,11,11,0,True,True,FR
2020-02-07,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-07,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-08,FRA,France,46.232193,2.209667,11,0,0,11,0,0,True,True,FR
2020-02-08,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-08,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-09,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-09,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-10,FRA,France,46.232193,2.209667,11,0,0,11,11,0,True,True,FR
2020-02-10,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-10,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-10,GBR,United Kingdom,54.633221,-3.432277,7,,,7,,,False,True,UK
2020-02-11,FRA,France,46.232193,2.209667,11,0,0,11,11,0,True,True,FR
2020-02-11,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-11,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-12,FRA,France,46.232193,2.209667,11,0,0,11,11,0,True,True,FR
2020-02-12,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-12,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-12,GBR,United Kingdom,54.633221,-3.432277,8,,,8,,,False,True,UK
2020-02-13,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-13,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-14,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-14,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-15,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-15,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-16,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-16,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-17,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-17,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-18,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-18,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-19,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-19,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-20,FRA,France,46.232193,2.209667,12,0,0,12,11,0,True,True,FR
2020-02-20,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-20,ITA,Italy,41.873987,12.564167,3,,,3,,,True,True,IT
2020-02-20,LVA,Latvia,56.875584,24.607722,-1,0,0,-1,,,True,True,LV
2020-02-20,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-21,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-21,ITA,Italy,41.873987,12.564167,22,,,22,,,True,True,IT
2020-02-21,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-22,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-22,ITA,Italy,41.873987,12.564167,78,,,78,,,True,True,IT
2020-02-22,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-23,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-23,ITA,Italy,41.873987,12.564167,155,,,155,,,True,True,IT
2020-02-23,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-23,GBR,United Kingdom,54.633221,-3.432277,12,,,12,,,False,True,UK
2020-02-24,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-24,ITA,Italy,41.873987,12.564167,229,7,1,221,127,26,True,True,IT
2020-02-24,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-25,GRC,Greece,38.275283,23.810343,0,0,0,0,,,True,True,EL
2020-02-25,ITA,Italy,41.873987,12.564167,322,10,1,311,,,True,True,IT
2020-02-25,CHE,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False,CH
2020-02-26,GRC,Greece,38.275283,23.810343,1,0,0,1,,,True,True,EL
2020-02-26,ITA,Italy,41.873987,12.564167,400,12,3,385,164,36,True,True,IT
2020-02-26,CHE,Switzerland,46.815514,8.224472,4,0,0,4,1,0,False,False,CH
2020-02-27,GRC,Greece,38.275283,23.810343,3,0,0,3,,,True,True,EL
2020-02-27,ITA,Italy,41.873987,12.564167,650,17,45,588,304,56,True,True,IT
2020-02-27,NLD,Netherlands,52.133057,5.29525,1,,,1,,,True,True,NL
2020-02-27,CHE,Switzerland,46.815514,8.224472,8,0,0,8,2,0,False,False,CH
2020-02-27,GBR,United Kingdom,54.633221,-3.432277,15,,,15,,,False,True,UK
2020-02-28,FRA,France,46.232193,2.209667,38,0,0,38,0,0,True,True,FR
2020-02-28,GRC,Greece,38.275283,23.810343,4,0,0,4,,,True,True,EL
2020-02-28,ITA,Italy,41.873987,12.564167,888,21,46,821,409,64,True,True,IT
2020-02-28,NLD,Netherlands,52.133057,5.29525,2,,,2,,,True,True,NL
2020-02-28,CHE,Switzerland,46.815514,8.224472,19,0,0,19,13,0,False,False,CH
2020-02-28,GBR,United Kingdom,54.633221,-3.432277,20,,,20,,,False,True,UK
2020-02-29,DEU,Germany,51.165706,10.452764,66,,,66,,,True,True,DE
2020-02-29,GRC,Greece,38.275283,23.810343,4,0,0,4,,,True,True,EL
2020-02-29,IRL,Ireland,53.41975,-8.240472,1,0,,1,,,True,True,IE
2020-02-29,ITA,Italy,41.873987,12.564167,1128,29,50,1049,506,105,True,True,IT
2020-02-29,NLD,Netherlands,52.133057,5.29525,6,,,6,,,True,True,NL
2020-02-29,ESP,Spain,39.896027,-2.487694,40,,,40,,,True,True,ES
2020-02-29,CHE,Switzerland,46.815514,8.224472,29,0,0,29,15,0,False,False,CH
2020-02-29,GBR,United Kingdom,54.633221,-3.432277,23,,,23,,,False,True,UK
2020-03-01,BEL,Belgium,50.499527,4.475402,17,0,,17,0,0,True,True,BE
2020-03-01,CZE,Czech Republic,49.800901,15.478153,3,0,0,3,,,True,True,CZ
2020-03-01,EST,Estonia,58.596209,25.023778,1,0,,1,,,True,True,EE
2020-03-01,DEU,Germany,51.165706,10.452764,129,,,129,,,True,True,DE
2020-03-01,GRC,Greece,38.275283,23.810343,7,0,0,7,,,True,True,EL
2020-03-01,ITA,Italy,41.873987,12.564167,1694,34,83,1577,779,140,True,True,IT
2020-03-01,LUX,Luxembourg,49.815764,6.131514,1,0,,1,,,True,True,LU
2020-03-01,NLD,Netherlands,52.133057,5.29525,9,,,9,,,True,True,NL
2020-03-01,ESP,Spain,39.896027,-2.487694,61,,,61,,,True,True,ES
2020-03-01,CHE,Switzerland,46.815514,8.224472,35,0,0,35,16,0,False,False,CH
2020-03-01,GBR,United Kingdom,54.633221,-3.432277,35,,,35,,,False,True,UK
2020-03-02,BEL,Belgium,50.499527,4.475402,37,0,,37,0,0,True,True,BE
2020-03-02,EST,Estonia,58.596209,25.023778,1,0,,1,,,True,True,EE
2020-03-02,FRA,France,46.232193,2.209667,175,0,0,175,0,0,True,True,FR
2020-03-02,DEU,Germany,51.165706,10.452764,157,,,157,,,True,True,DE
2020-03-02,GRC,Greece,38.275283,23.810343,7,0,0,7,,,True,True,EL
2020-03-02,ITA,Italy,41.873987,12.564167,2036,52,149,1835,908,166,True,True,IT
2020-03-02,LUX,Luxembourg,49.815764,6.131514,1,0,,1,,,True,True,LU
2020-03-02,NLD,Netherlands,52.133057,5.29525,19,,,19,,,True,True,NL
2020-03-02,ESP,Spain,39.896027,-2.487694,125,,,125,,,True,True,ES
2020-03-02,CHE,Switzerland,46.815514,8.224472,49,0,0,49,22,0,False,False,CH
2020-03-02,GBR,United Kingdom,54.633221,-3.432277,39,,,39,,,False,True,UK
2020-03-03,BEL,Belgium,50.499527,4.475402,72,0,,72,0,0,True,True,BE
2020-03-03,CZE,Czech Republic,49.800901,15.478153,5,0,0,5,,,True,True,CZ
2020-03-03,FRA,France,46.232193,2.209667,212,0,0,212,0,0,True,True,FR
2020-03-03,DEU,Germany,51.165706,10.452764,198,,,198,,,True,True,DE
2020-03-03,GRC,Greece,38.275283,23.810343,7,0,0,7,,,True,True,EL
2020-03-03,IRL,Ireland,53.41975,-8.240472,2,0,,2,,,True,True,IE
2020-03-03,ITA,Italy,41.873987,12.564167,2502,79,160,2263,1263,229,True,True,IT
2020-03-03,NLD,Netherlands,52.133057,5.29525,24,,,24,,,True,True,NL
2020-03-03,PRT,Portugal,39.553444,-7.839319,4,,,4,,,True,True,PT
2020-03-03,ESP,Spain,39.896027,-2.487694,155,1,,154,,,True,True,ES
2020-03-03,CHE,Switzerland,46.815514,8.224472,70,0,0,70,27,0,False,False,CH
2020-03-03,GBR,United Kingdom,54.633221,-3.432277,51,,,51,,,False,True,UK
2020-03-04,BEL,Belgium,50.499527,4.475402,126,0,,126,0,0,True,True,BE
2020-03-04,CZE,Czech Republic,49.800901,15.478153,6,0,0,6,,,True,True,CZ
2020-03-04,EST,Estonia,58.596209,25.023778,2,0,,2,,,True,True,EE
2020-03-04,FRA,France,46.232193,2.209667,282,0,0,282,0,0,True,True,FR
2020-03-04,DEU,Germany,51.165706,10.452764,262,0,16,246,0,0,True,True,DE
2020-03-04,GRC,Greece,38.275283,23.810343,9,0,0,9,,,True,True,EL
2020-03-04,HUN,Hungary,47.164638,19.508944,2,0,0,2,0,0,True,True,HU
2020-03-04,IRL,Ireland,53.41975,-8.240472,6,0,,6,,,True,True,IE
2020-03-04,ITA,Italy,41.873987,12.564167,3089,107,276,2706,1641,295,True,True,IT
2020-03-04,NLD,Netherlands,52.133057,5.29525,38,,,38,,,True,True,NL
2020-03-04,PRT,Portugal,39.553444,-7.839319,6,,,6,,,True,True,PT
2020-03-04,ESP,Spain,39.896027,-2.487694,198,1,24,173,0,7,True,True,ES
2020-03-04,CHE,Switzerland,46.815514,8.224472,97,0,0,97,35,1,False,False,CH
2020-03-04,UKR,Ukraine,48.379888,31.168139,1,0,,1,,,False,False,UA
2020-03-04,GBR,United Kingdom,54.633221,-3.432277,87,,,87,,,False,True,UK
2020-03-05,AUT,Austria,47.697542,13.349319,41,,,41,,,True,True,AT
2020-03-05,BEL,Belgium,50.499527,4.475402,207,0,,207,0,0,True,True,BE
2020-03-05,CZE,Czech Republic,49.800901,15.478153,9,0,0,9,,,True,True,CZ
2020-03-05,FRA,France,46.232193,2.209667,420,0,0,420,0,0,True,True,FR
2020-03-05,DEU,Germany,51.165706,10.452764,400,0,25,375,0,0,True,True,DE
2020-03-05,GRC,Greece,38.275283,23.810343,31,0,0,31,,,True,True,EL
2020-03-05,HUN,Hungary,47.164638,19.508944,4,0,0,4,0,0,True,True,HU
2020-03-05,IRL,Ireland,53.41975,-8.240472,13,0,,13,,,True,True,IE
2020-03-05,ITA,Italy,41.873987,12.564167,3858,148,414,3296,2141,351,True,True,IT
2020-03-05,LIE,Liechtenstein,47.164696,9.555,1,0,0,1,,,False,False,LI
2020-03-05,NLD,Netherlands,52.133057,5.29525,82,,,82,,,True,True,NL
2020-03-05,PRT,Portugal,39.553444,-7.839319,9,,,9,,,True,True,PT
2020-03-05,ESP,Spain,39.896027,-2.487694,237,3,0,234,0,9,True,True,ES
2020-03-05,CHE,Switzerland,46.815514,8.224472,141,0,2,139,39,1,False,False,CH
2020-03-05,GBR,United Kingdom,54.633221,-3.432277,116,,,116,,,False,True,UK
2020-03-06,AUT,Austria,47.697542,13.349319,55,,,55,,,True,True,AT
2020-03-06,BEL,Belgium,50.499527,4.475402,317,0,,317,0,0,True,True,BE
2020-03-06,BIH,Bosnia and Herzegovina,43.892652,17.670584,2,0,,2,,,False,False,BA
2020-03-06,CZE,Czech Republic,49.800901,15.478153,20,0,0,20,,,True,True,CZ
2020-03-06,EST,Estonia,58.596209,25.023778,5,0,,5,,,True,True,EE
2020-03-06,FRA,France,46.232193,2.209667,610,0,0,610,0,0,True,True,FR
2020-03-06,DEU,Germany,51.165706,10.452764,639,0,75,564,0,0,True,True,DE
2020-03-06,GRC,Greece,38.275283,23.810343,45,0,0,45,,,True,True,EL
2020-03-06,HUN,Hungary,47.164638,19.508944,4,0,0,4,0,0,True,True,HU
2020-03-06,IRL,Ireland,53.41975,-8.240472,18,0,,18,,,True,True,IE
2020-03-06,ITA,Italy,41.873987,12.564167,4636,197,523,3916,2856,462,True,True,IT
2020-03-06,LIE,Liechtenstein,47.164696,9.555,1,0,0,1,,,False,False,LI
2020-03-06,NLD,Netherlands,52.133057,5.29525,128,,,128,,,True,True,NL
2020-03-06,PRT,Portugal,39.553444,-7.839319,13,,,13,,,True,True,PT
2020-03-06,SVK,Slovakia,48.665639,19.709097,1,0,0,1,,,True,True,SK
2020-03-06,ESP,Spain,39.896027,-2.487694,365,5,0,360,0,11,True,True,ES
2020-03-06,CHE,Switzerland,46.815514,8.224472,215,1,3,211,46,4,False,False,CH
2020-03-06,GBR,United Kingdom,54.633221,-3.432277,164,,,164,,,False,True,UK
2020-03-07,AUT,Austria,47.697542,13.349319,79,,,79,,,True,True,AT
2020-03-07,BEL,Belgium,50.499527,4.475402,344,0,,344,0,0,True,True,BE
2020-03-07,CZE,Czech Republic,49.800901,15.478153,27,0,0,27,,,True,True,CZ
2020-03-07,EST,Estonia,58.596209,25.023778,10,0,,10,,,True,True,EE
2020-03-07,FRA,France,46.232193,2.209667,946,0,0,946,0,0,True,True,FR
2020-03-07,DEU,Germany,51.165706,10.452764,795,0,204,591,0,0,True,True,DE
2020-03-07,GRC,Greece,38.275283,23.810343,46,0,0,46,,,True,True,EL
2020-03-07,HUN,Hungary,47.164638,19.508944,5,0,0,5,0,0,True,True,HU
2020-03-07,IRL,Ireland,53.41975,-8.240472,19,0,,19,,,True,True,IE
2020-03-07,ITA,Italy,41.873987,12.564167,5883,233,589,5061,3218,567,True,True,IT
2020-03-07,LIE,Liechtenstein,47.164696,9.555,1,0,0,1,,,False,False,LI
2020-03-07,LUX,Luxembourg,49.815764,6.131514,3,0,,3,,,True,True,LU
2020-03-07,MLT,Malta,35.946151,14.384612,3,0,0,3,,,True,True,MT
2020-03-07,NLD,Netherlands,52.133057,5.29525,188,,,188,,,True,True,NL
2020-03-07,PRT,Portugal,39.553444,-7.839319,21,,,21,,,True,True,PT
2020-03-07,SVK,Slovakia,48.665639,19.709097,3,0,0,3,,,True,True,SK
2020-03-07,CHE,Switzerland,46.815514,8.224472,277,1,3,273,47,6,False,False,CH
2020-03-07,GBR,United Kingdom,54.633221,-3.432277,209,,,209,,,False,True,UK
2020-03-08,AUT,Austria,47.697542,13.349319,102,,,102,,,True,True,AT
2020-03-08,BEL,Belgium,50.499527,4.475402,409,0,,409,0,0,True,True,BE
