Date,Country,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-05T18:00:00,FRA,-17224,3348,17224,13876,0,1696
2020-04-05T18:00:00,CHE,11863,0,0,0,11863,196
2020-04-05T18:00:00,GRL,0,0,0,0,0,0
2020-04-05T18:00:00,SMR,0,0,0,0,0,0
2020-04-05T18:00:00,MLT,227,0,0,0,227,0
2020-04-05T18:00:00,FIN,2662,0,0,0,2662,0
2020-04-05T18:00:00,EST,1018,0,0,0,1018,13
2020-04-05T18:00:00,DNK,4560,0,0,0,4560,179
2020-04-05T18:00:00,CZE,4543,0,0,0,4543,53
2020-04-05T18:00:00,CYP,426,0,0,0,426,11
2020-04-05T18:00:00,HRV,1183,0,0,0,1183,15
2020-04-05T18:00:00,BIH,320,0,0,0,320,14
2020-04-05T18:00:00,BLR,394,0,0,0,394,5
2020-04-05T18:00:00,AND,466,0,0,0,466,17
2020-04-05T18:00:00,UKR,1252,0,0,0,1252,32
2020-04-05T18:00:00,TUR,23934,0,0,0,23934,501
2020-04-05T18:00:00,SWE,5923,520,520,0,6443,373
2020-04-05T18:00:00,SVN,1787,0,0,0,1787,12
2020-04-05T18:00:00,SVK,400,0,0,0,400,0
2020-04-05T18:00:00,SRB,1624,0,0,0,1624,44
2020-04-05T18:00:00,SMR,504,0,0,0,504,62
2020-04-05T18:00:00,RUS,3547,0,0,0,3547,30
2020-04-05T18:00:00,ROU,3245,0,0,0,3245,133
2020-04-05T18:00:00,POL,4102,0,0,0,4102,94
2020-04-05T18:00:00,NOR,5644,0,0,0,5644,58
2020-04-05T18:00:00,MKD,483,0,0,0,483,17
2020-04-05T18:00:00,MNE,203,0,0,0,203,2
2020-04-05T18:00:00,MCO,66,0,0,0,66,2
2020-04-05T18:00:00,MDA,1175,0,0,0,1175,17
2020-04-05T18:00:00,LUX,2729,0,0,0,2729,31
2020-04-05T18:00:00,LTU,771,0,0,0,771,9
2020-04-05T18:00:00,LIE,77,0,0,0,77,1
2020-04-05T18:00:00,LVA,509,0,0,0,509,1
2020-04-05T18:00:00,IRL,4604,0,0,0,4604,137
2020-04-05T18:00:00,ISL,1417,0,0,0,1417,0
2020-04-05T18:00:00,HUN,0,0,0,0,0,0
2020-04-05T18:00:00,GRC,1674,0,0,0,1674,70
2020-04-05T18:00:00,BGR,489,0,0,0,489,14
2020-04-05T18:00:00,ALB,343,0,0,0,343,16
2020-04-05T18:00:00,PRT,10545,0,0,0,10545,266
2020-04-05T18:00:00,AUT,11907,0,0,0,11907,0
2020-04-05T18:00:00,ESP,65154,6861,65605,58744,130759,12418
2020-04-05T18:00:00,ESP,0,0,0,0,0,0
2020-04-05T18:00:00,WWW,1174675,0,0,0,1174675,64400
2020-04-05T18:00:00,FRA,54657,0,0,0,54657,1696
2020-04-05T18:00:00,DEU,91716,0,0,0,91716,1442
2020-04-05T18:00:00,ITA,92045,3977,36903,32926,128948,15887
