Date,iso3,Country,lat,lon,infected,dead,recovered,positive,hospitalized,intensive_care,ismemberstate, isucpm
2020-04-06,AND,Andorra,42.542268,1.596865,501,18,0,483,0,,0,False
2020-04-06,AUT,Austria,47.697542,13.349319,12008,0,0,12008,0,,0,True
2020-04-06,BLR,Belarus,53.711111,27.973847,564,8,0,556,0,,0,False
2020-04-06,BIH,Bosnia and Herzegovina,43.892652,17.670584,371,19,0,352,0,,0,False
2020-04-06,BGR,Bulgaria,42.729862,25.491667,541,21,0,520,0,,0,True
2020-04-06,HRV,Croatia,44.48732,16.460306,1182,15,0,1167,0,,0,True
2020-04-06,CYP,Cyprus,35.167406,33.435499,446,14,0,432,0,,0,True
2020-04-06,CZE,Czech Republic,49.800901,15.478153,4591,72,96,4423,0,,0,True
2020-04-06,EST,Estonia,58.596209,25.023778,1108,19,0,1089,0,,0,True
2020-04-06,FIN,Finland,64.952416,26.068944,2176,0,0,2176,0,,0,True
2020-04-06,DEU,Germany,51.165706,10.452764,95391,1502,0,93889,0,,0,True
2020-04-06,GRC,Greece,38.275283,23.810343,1735,73,0,1662,0,,0,True
2020-04-06,ISL,Iceland,64.963942,-19.021169,1562,0,0,1562,0,,0,True
2020-04-06,IRL,Ireland,53.41975,-8.240472,5111,158,0,4953,0,,0,True
2020-04-06,LVA,Latvia,56.875584,24.607722,533,1,0,532,0,,0,True
2020-04-06,LIE,Liechtenstein,47.164696,9.555,78,1,0,77,0,,0,False
2020-04-06,LTU,Lithuania,55.174112,23.906736,811,13,0,798,0,,0,True
2020-04-06,MLT,Malta,35.946151,14.384612,241,0,5,236,0,,0,True
2020-04-06,MDA,Moldova,46.979527,28.377195,864,15,0,849,0,,0,False
2020-04-06,MCO,Monaco,43.738348,7.424451,73,2,0,71,0,,0,False
2020-04-06,MNE,Montenegro,42.710152,19.410069,214,2,0,212,0,,0,True
2020-04-06,MKD,North Macedonia,41.611,21.751417,555,18,0,537,0,,0,True
2020-04-06,NOR,Norway,64.583013,17.86411,5755,59,0,5696,0,,0,True
2020-04-06,POL,Poland,51.92275,19.136875,4201,98,0,4103,0,,0,True
2020-04-06,SMR,San Marino,43.942973,12.460035,266,32,0,234,0,,0,False
2020-04-06,SRB,Serbia,44.206802,20.911009,1908,51,0,1857,0,,0,True
2020-04-06,SVN,Slovenia,46.145528,14.974541,1013,0,0,1013,0,,0,True
2020-04-06,ESP,Spain,39.896027,-2.487694,135032,13055,40437,81540,59662,,6931,True
2020-04-06,UKR,Ukraine,48.379888,31.168139,1319,38,0,1281,0,,0,False
2020-04-06,WWW,Whole Globe,0,0,1244421,68976,0,1175445,0,,0,False
