Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-05-29,ALB,Albania,41.156986,20.181222,1099,33,851,215,18,5,False,False
2020-05-29,AND,Andorra,42.542268,1.596865,763,51,0,712,0,0,False,False
2020-05-29,AUT,Austria,47.697542,13.349319,16625,638,15347,640,187,35,True,True
2020-05-29,BLR,Belarus,53.711111,27.973847,39858,219,0,39639,0,0,False,False
2020-05-29,BEL,Belgium,50.499527,4.475402,58061,9430,0,48631,17203,0,True,True
2020-05-29,BIH,Bosnia and Herzegovina,43.892652,17.670584,1071,39,0,1032,0,0,False,False
2020-05-29,BGR,Bulgaria,42.729862,25.491667,2485,136,1016,1333,0,0,True,True
2020-05-29,HRV,Croatia,44.48732,16.460306,2246,102,0,2144,0,0,True,True
2020-05-29,CYP,Cyprus,35.167406,33.435499,941,17,0,924,0,0,True,True
2020-05-29,CZE,Czech Republic,49.800901,15.478153,9143,319,6464,2360,0,0,True,True
2020-05-29,DNK,Denmark,56.155403,11.617223,12646,568,0,12078,0,0,True,True
2020-05-29,EST,Estonia,58.596209,25.023778,1859,67,0,1792,0,0,True,True
2020-05-29,FIN,Finland,64.952416,26.068944,6798,0,0,6798,0,0,True,True
2020-05-29,FRA,France,46.232193,2.209667,149668,18387,67803,63478,14695,1361,True,True
2020-05-29,DEU,Germany,51.165706,10.452764,180460,8450,164100,7910,0,0,True,True
2020-05-29,GRC,Greece,38.275283,23.810343,2907,175,270,2462,330,0,True,True
2020-05-29,HUN,Hungary,47.164638,19.508944,3841,517,2024,1300,384,24,True,True
2020-05-29,ISL,Iceland,64.963942,-19.021169,1805,0,0,1805,0,0,False,True
2020-05-29,IRL,Ireland,53.41975,-8.240472,24841,1639,0,23202,0,0,True,True
2020-05-29,ITA,Italy,41.873987,12.564167,232248,33229,152844,46175,7569,475,True,True
2020-05-29,LVA,Latvia,56.875584,24.607722,1061,24,0,1037,0,0,True,True
2020-05-29,LIE,Liechtenstein,47.164696,9.555,83,1,0,82,0,0,False,False
2020-05-29,LTU,Lithuania,55.174112,23.906736,1656,68,0,1588,0,0,True,True
2020-05-29,LUX,Luxembourg,49.815764,6.131514,4012,110,922,2980,30,4,True,True
2020-05-29,MLT,Malta,35.946151,14.384612,616,8,514,94,0,0,True,True
2020-05-29,MDA,Moldova,46.979527,28.377195,7725,282,0,7443,0,0,False,False
2020-05-29,MCO,Monaco,43.738348,7.424451,98,5,0,93,0,0,False,False
2020-05-29,MNE,Montenegro,42.710152,19.410069,324,9,0,315,0,0,False,True
2020-05-29,NLD,Netherlands,52.133057,5.29525,46126,5931,0,40195,11722,0,True,True
2020-05-29,MKD,North Macedonia,41.611,21.751417,2078,122,0,1956,0,0,False,True
2020-05-29,NOR,Norway,64.583013,17.86411,8412,236,0,8176,877,218,False,True
2020-05-29,POL,Poland,51.92275,19.136875,23155,1051,0,22104,0,0,True,True
2020-05-29,PRT,Portugal,39.553444,-7.839319,31572,1354,18911,11307,529,66,True,True
2020-05-29,ROU,Romania,45.947125,24.980514,18982,1248,12829,4905,0,0,True,True
2020-05-29,RUS,Russian Fed.,61.523111,-74.9,387623,6490,159257,221876,0,0,False,False
2020-05-29,SMR,San Marino,43.942973,12.460035,670,42,0,628,0,0,False,False
2020-05-29,SRB,Serbia,44.206802,20.911009,11300,241,0,11059,0,0,False,True
2020-05-29,SVK,Slovakia,48.665639,19.709097,1520,28,1338,154,59,0,True,True
2020-05-28,SVN,Slovenia,46.145528,14.974541,2684,108,292,2284,7,2,True,True
2020-05-29,ESP,Spain,39.896027,-2.487694,238564,27121,0,211443,123891,11397,True,True
2020-05-29,SWE,Sweden,62.199806,17.637493,36476,4350,0,32126,0,2048,True,True
2020-05-29,CHE,Switzerland,46.815514,8.224472,30813,1920,5445,23448,367,38,False,False
2020-05-29,TUR,Turkey,38.961516,35.25175,160979,4461,0,156518,0,0,False,True
2020-05-29,UKR,Ukraine,48.379888,31.168139,22811,679,8934,13198,0,0,False,False
2020-05-28,GBR,United Kingdom,54.633221,-3.432277,269127,37837,0,231290,0,0,False,True
