Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-08-13,ALB,Albania,41.156986,20.181222,6971,213,3616,3142,95,19,False,False,AL
2020-08-14,AND,Andorra,42.542268,1.596865,981,53,,,,,False,False,AD
2020-07-13,ARM,Armenia,40.066181,45.111108,32490,581,20729,11180,1885,273,False,False,AM
2020-08-13,AUT,Austria,47.697542,13.349319,22582,713,20346,1523,187,35,True,True,AT
2020-08-14,BLR,Belarus,53.711111,27.973847,69203,599,,,,,False,False,BY
2020-08-12,BEL,Belgium,50.499527,4.475402,75647,9900,,,301,76,True,True,BE
2020-08-14,BIH,Bosnia and Herzegovina,43.892652,17.670584,15184,458,,,,,False,False,BA
2020-08-14,BGR,Bulgaria,42.729862,25.491667,14069,484,8901,4684,,,True,True,BG
2020-08-14,HRV,Croatia,44.48732,16.460306,6259,163,0,6096,,,True,True,HR
2020-08-14,CYP,Cyprus,35.167406,33.435499,1291,20,,,,,True,True,CY0
2020-08-14,CZE,Czech Republic,49.800901,15.478153,19401,391,13574,5436,,,True,True,CZ
2020-08-14,DNK,Denmark,56.155403,11.617223,15379,621,,,,,True,True,DK
2020-08-14,EST,Estonia,58.596209,25.023778,2174,63,,,,,True,True,EE
2020-08-14,FIN,Finland,64.952416,26.068944,7722,0,0,7722,0,0,True,True,FI
2020-08-12,FRA,France,46.232193,2.209667,206696,19866,83472,103358,4891,379,True,True,FR
2020-08-14,DEU,Germany,51.165706,10.452764,221415,9225,200200,11990,,,True,True,DE
2020-08-14,GRC,Greece,38.275283,23.810343,6381,221,,,,,True,True,EL
2020-08-14,HUN,Hungary,47.164638,19.508944,4853,607,3590,656,64,6,True,True,HU
2020-08-14,ISL,Iceland,64.963942,-19.021169,3790,10,,,,,False,True,IS
2020-08-14,IRL,Ireland,53.41975,-8.240472,26929,1774,,,,,True,True,IE
2020-08-13,ITA,Italy,41.873987,12.564167,252235,35231,202923,14081,841,55,True,True,IT
2020-08-14,LVA,Latvia,56.875584,24.607722,1307,32,,,,,True,True,LV
2020-08-14,LIE,Liechtenstein,47.164696,9.555,91,1,0,90,,,False,False,LI
2020-08-14,LTU,Lithuania,55.174112,23.906736,2330,81,,,,,True,True,LT
2020-08-14,LUX,Luxembourg,49.815764,6.131514,7368,122,,,,,True,True,LU
2020-08-14,MLT,Malta,35.946151,14.384612,1276,9,762,505,,,True,True,MT
2020-08-14,MDA,Moldova,46.979527,28.377195,29087,878,,,,,False,False,MD
2020-08-14,MCO,Monaco,43.738348,7.424451,144,7,,,,,False,False,
2020-08-14,MNE,Montenegro,42.710152,19.410069,3857,73,,,,,False,True,ME
2020-08-14,NLD,Netherlands,52.133057,5.29525,61840,12305,0,49535,23914,0,True,True,NL
2020-08-14,MKD,North Macedonia,41.611,21.751417,12357,532,,,,,False,True,MK
2020-08-13,NOR,Norway,64.583013,17.86411,9780,257,0,9523,1003,230,False,True,NO
2020-08-14,POL,Poland,51.92275,19.136875,55319,1858,,,,,True,True,PL
2020-08-13,PRT,Portugal,39.553444,-7.839319,53569,1770,35626,16173,402,41,True,True,PT
2020-08-14,ROU,Romania,45.947125,24.980514,67988,2904,,,,,True,True,RO
2020-08-14,RUS,Russian Fed.,61.523111,-74.9,912823,17614,722964,172245,0,0,False,False,
2020-08-14,SMR,San Marino,43.942973,12.460035,719,42,,,,,False,False,SM
2020-08-14,SRB,Serbia,44.206802,20.911009,28998,661,,,,,False,True,RS
2020-08-14,SVK,Slovakia,48.665639,19.709097,2801,31,1944,826,51,2,True,True,SK
2020-08-13,SVN,Slovenia,46.145528,14.974541,3580,129,357,3094,18,3,True,True,SI
2020-08-13,ESP,Spain,39.896027,-2.487694,337334,28605,,,129009,11926,True,True,ES
2020-08-13,SWE,Sweden,62.199806,17.637493,84294,5783,,,,2541,True,True,SE
2020-08-14,CHE,Switzerland,46.815514,8.224472,36864,1986,6601,28277,100,20,False,False,CH
2020-08-14,TUR,Turkey,38.961516,35.25175,245635,5912,,,,,False,True,TR
2020-08-14,UKR,Ukraine,48.379888,31.168139,87872,2011,,,,,False,False,UA
2020-08-12,GBR,United Kingdom,54.633221,-3.432277,313808,46706,0,267102,,,False,True,UK
