Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-03T22:00:00,ALB,Berat,1,0,0,0,1,0
2020-04-03T22:00:00,ALB,Durrës,35,0,0,0,35,3
2020-04-03T22:00:00,ALB,Elbasan,8,0,0,0,8,0
2020-04-03T22:00:00,ALB,Fier,27,0,0,0,27,2
2020-04-03T22:00:00,ALB,Korca,3,0,0,0,3,0
2020-04-03T22:00:00,ALB,Korçë,16,0,0,0,16,0
2020-04-03T22:00:00,ALB,Kukës,12,0,0,0,12,1
2020-04-03T22:00:00,ALB,Lezhë,8,0,0,0,8,0
2020-04-03T22:00:00,ALB,Shkodër,14,0,0,0,14,0
2020-04-03T22:00:00,ALB,Tirane,63,0,0,0,63,0
2020-04-03T22:00:00,ALB,Tiranë,151,0,0,0,151,9
2020-04-03T22:00:00,ALB,Vlorë,5,0,0,0,5,1
