Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,WWW,Afghanistan,337,0,0,0,337,7
2020-04-08T09:00:00,WWW,Albania,377,0,0,0,377,22
2020-04-08T09:00:00,WWW,Algeria,1423,0,0,0,1423,173
2020-04-08T09:00:00,WWW,Andorra,526,0,0,0,526,21
2020-04-08T09:00:00,WWW,Angola,16,0,0,0,16,2
2020-04-08T09:00:00,WWW,Anguilla,3,0,0,0,3,0
2020-04-08T09:00:00,WWW,Antigua and Barbuda,15,0,0,0,15,0
2020-04-08T09:00:00,WWW,Argentina,1628,0,0,0,1628,53
2020-04-08T09:00:00,WWW,Armenia,833,0,0,0,833,8
2020-04-08T09:00:00,WWW,Aruba,71,0,0,0,71,0
2020-04-08T09:00:00,WWW,Australia,5844,0,0,0,5844,42
2020-04-08T09:00:00,WWW,Austria,12297,0,0,0,12297,220
2020-04-08T09:00:00,WWW,Azerbaijan,641,0,0,0,641,7
2020-04-08T09:00:00,WWW,Bahamas,33,0,0,0,33,5
2020-04-08T09:00:00,WWW,Bahrain,756,0,0,0,756,4
2020-04-08T09:00:00,WWW,Bangladesh,123,0,0,0,123,12
2020-04-08T09:00:00,WWW,Barbados,60,0,0,0,60,2
2020-04-08T09:00:00,WWW,Belarus,700,0,0,0,700,13
2020-04-08T09:00:00,WWW,Belgium,20814,0,0,0,20814,1632
2020-04-08T09:00:00,WWW,Belize,7,0,0,0,7,1
2020-04-08T09:00:00,WWW,Benin,26,0,0,0,26,1
2020-04-08T09:00:00,WWW,Bermuda,39,0,0,0,39,2
2020-04-08T09:00:00,WWW,Bhutan,5,0,0,0,5,0
2020-04-08T09:00:00,WWW,Bolivia,194,0,0,0,194,14
2020-04-08T09:00:00,WWW,Bonaire, Saint Eustatius and Saba,2,0,0,0,2,0
2020-04-08T09:00:00,WWW,Bosnia and Herzegovina,695,0,0,0,695,28
2020-04-08T09:00:00,WWW,Botswana,7,0,0,0,7,1
2020-04-08T09:00:00,WWW,Brazil,12056,0,0,0,12056,553
2020-04-08T09:00:00,WWW,British Virgin Islands,3,0,0,0,3,0
2020-04-08T09:00:00,WWW,Brunei Darussalam,135,0,0,0,135,1
2020-04-08T09:00:00,WWW,Bulgaria,549,0,0,0,549,22
2020-04-08T09:00:00,WWW,Burkina Faso,364,0,0,0,364,17
2020-04-08T09:00:00,WWW,Burundi,3,0,0,0,3,0
2020-04-08T09:00:00,WWW,Cambodia,115,0,0,0,115,0
2020-04-08T09:00:00,WWW,Cameroon,658,0,0,0,658,9
2020-04-08T09:00:00,WWW,Canada,16653,0,0,0,16653,323
2020-04-08T09:00:00,WWW,Cape Verde,7,0,0,0,7,1
2020-04-08T09:00:00,WWW,Cases on an international conveyance Japan,696,0,0,0,696,7
2020-04-08T09:00:00,WWW,Cayman Islands,39,0,0,0,39,1
2020-04-08T09:00:00,WWW,Central African Republic,9,0,0,0,9,0
2020-04-08T09:00:00,WWW,Chad,9,0,0,0,9,0
