Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,BGR,Blagoevgrad,16,0,0,0,16,3
2020-04-08T09:00:00,BGR,Burgas,24,0,0,0,24,0
2020-04-08T09:00:00,BGR,Dobrich,11,0,0,0,11,0
2020-04-08T09:00:00,BGR,Gabrovo,2,0,0,0,2,0
2020-04-08T09:00:00,BGR,Haskovo,5,0,0,0,5,0
2020-04-08T09:00:00,BGR,Kardzhali,9,0,0,0,9,0
2020-04-08T09:00:00,BGR,Kyustendil,7,0,0,0,7,3
2020-04-08T09:00:00,BGR,Lovech,2,0,0,0,2,0
2020-04-08T09:00:00,BGR,Montana,18,0,0,0,18,0
2020-04-08T09:00:00,BGR,Pazardzhik,11,0,0,0,11,1
2020-04-08T09:00:00,BGR,Pernik,8,0,0,0,8,0
2020-04-08T09:00:00,BGR,Pleven,9,0,0,0,9,0
2020-04-08T09:00:00,BGR,Plovdiv,31,0,0,0,31,0
2020-04-08T09:00:00,BGR,Ruse,3,0,0,0,3,0
2020-04-08T09:00:00,BGR,Shumen,4,0,0,0,4,0
2020-04-08T09:00:00,BGR,Silistra,2,0,0,0,2,0
2020-04-08T09:00:00,BGR,Sliven,9,0,0,0,9,0
2020-04-08T09:00:00,BGR,Smolyan,14,0,0,0,14,0
2020-04-08T09:00:00,BGR,Sofia City,338,0,0,0,338,14
2020-04-08T09:00:00,BGR,Stara Zagora,9,0,0,0,9,1
2020-04-08T09:00:00,BGR,Unknown,4,0,0,0,4,0
2020-04-08T09:00:00,BGR,Varna,25,0,0,0,25,0
2020-04-08T09:00:00,BGR,Veliko Tarnovo,4,0,0,0,4,0
2020-04-08T09:00:00,BGR,Vidin,2,0,0,0,2,0
2020-04-08T09:00:00,BGR,Vratsa,2,0,0,0,2,0
