Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-03T23:00:00,WWW,Afghanistan,235,0,0,0,235,4
2020-04-03T23:00:00,WWW,Albania,277,0,0,0,277,16
2020-04-03T23:00:00,WWW,Algeria,847,0,0,0,847,58
2020-04-03T23:00:00,WWW,Andorra,428,0,0,0,428,15
2020-04-03T23:00:00,WWW,Angola,8,0,0,0,8,2
2020-04-03T23:00:00,WWW,Anguilla,3,0,0,0,3,0
2020-04-03T23:00:00,WWW,Antigua and Barbuda,9,0,0,0,9,0
2020-04-03T23:00:00,WWW,Argentina,1133,0,0,0,1133,34
2020-04-03T23:00:00,WWW,Armenia,663,0,0,0,663,4
2020-04-03T23:00:00,WWW,Aruba,60,0,0,0,60,0
2020-04-03T23:00:00,WWW,Australia,5224,0,0,0,5224,23
2020-04-03T23:00:00,WWW,Austria,11129,0,0,0,11129,158
2020-04-03T23:00:00,WWW,Azerbaijan,400,0,0,0,400,5
2020-04-03T23:00:00,WWW,Bahamas,24,0,0,0,24,1
2020-04-03T23:00:00,WWW,Bahrain,643,0,0,0,643,4
2020-04-03T23:00:00,WWW,Bangladesh,56,0,0,0,56,6
2020-04-03T23:00:00,WWW,Barbados,45,0,0,0,45,0
2020-04-03T23:00:00,WWW,Belarus,254,0,0,0,254,4
2020-04-03T23:00:00,WWW,Belgium,15348,0,0,0,15348,1011
2020-04-03T23:00:00,WWW,Belize,3,0,0,0,3,0
2020-04-03T23:00:00,WWW,Benin,13,0,0,0,13,0
2020-04-03T23:00:00,WWW,Bermuda,35,0,0,0,35,0
2020-04-03T23:00:00,WWW,Bhutan,5,0,0,0,5,0
2020-04-03T23:00:00,WWW,Bolivia,132,0,0,0,132,9
2020-04-03T23:00:00,WWW,Bonaire, Saint Eustatius and Saba,2,0,0,0,2,0
2020-04-03T23:00:00,WWW,Bosnia and Herzegovina,532,0,0,0,532,17
2020-04-03T23:00:00,WWW,Botswana,4,0,0,0,4,1
2020-04-03T23:00:00,WWW,Brazil,7910,0,0,0,7910,299
2020-04-03T23:00:00,WWW,British Virgin Islands,3,0,0,0,3,0
2020-04-03T23:00:00,WWW,Brunei Darussalam,133,0,0,0,133,1
2020-04-03T23:00:00,WWW,Bulgaria,457,0,0,0,457,10
2020-04-03T23:00:00,WWW,Burkina Faso,288,0,0,0,288,16
2020-04-03T23:00:00,WWW,Burundi,3,0,0,0,3,0
2020-04-03T23:00:00,WWW,Cambodia,114,0,0,0,114,0
2020-04-03T23:00:00,WWW,Cameroon,271,0,0,0,271,7
2020-04-03T23:00:00,WWW,Canada,11268,0,0,0,11268,138
2020-04-03T23:00:00,WWW,Cape Verde,6,0,0,0,6,1
2020-04-03T23:00:00,WWW,Cases on an international conveyance Japan,696,0,0,0,696,7
2020-04-03T23:00:00,WWW,Cayman Islands,28,0,0,0,28,1
2020-04-03T23:00:00,WWW,Central African Republic,8,0,0,0,8,0
2020-04-03T23:00:00,WWW,Chad,7,0,0,0,7,0
2020-04-03T23:00:00,WWW,Chile,3404,0,0,0,3404,18
2020-04-03T23:00:00,WWW,China,82465,0,0,0,82465,3326
2020-04-03T23:00:00,WWW,Colombia,1161,0,0,0,1161,19
2020-04-03T23:00:00,WWW,Congo,41,0,0,0,41,3
2020-04-03T23:00:00,WWW,Costa Rica,396,0,0,0,396,2
2020-04-03T23:00:00,WWW,Cote dIvoire,194,0,0,0,194,1
2020-04-03T23:00:00,WWW,Croatia,1011,0,0,0,1011,7
2020-04-03T23:00:00,WWW,Cuba,233,0,0,0,233,6
2020-04-03T23:00:00,WWW,Curaçao,11,0,0,0,11,1
2020-04-03T23:00:00,WWW,Cyprus,356,0,0,0,356,9
2020-04-03T23:00:00,WWW,Czech Republic,3858,0,0,0,3858,44
2020-04-03T23:00:00,WWW,Democratic Republic of the Congo,123,0,0,0,123,11
2020-04-03T23:00:00,WWW,Denmark,3386,0,0,0,3386,123
2020-04-03T23:00:00,WWW,Djibouti,41,0,0,0,41,0
2020-04-03T23:00:00,WWW,Dominica,12,0,0,0,12,0
2020-04-03T23:00:00,WWW,Dominican Republic,1380,0,0,0,1380,60
2020-04-03T23:00:00,WWW,Ecuador,3163,0,0,0,3163,120
2020-04-03T23:00:00,WWW,Egypt,779,0,0,0,779,52
2020-04-03T23:00:00,WWW,El Salvador,46,0,0,0,46,2
2020-04-03T23:00:00,WWW,Equatorial Guinea,15,0,0,0,15,0
2020-04-03T23:00:00,WWW,Eritrea,22,0,0,0,22,0
2020-04-03T23:00:00,WWW,Estonia,858,0,0,0,858,11
2020-04-03T23:00:00,WWW,Eswatini,9,0,0,0,9,0
2020-04-03T23:00:00,WWW,Ethiopia,29,0,0,0,29,0
2020-04-03T23:00:00,WWW,Faroe Islands,177,0,0,0,177,0
2020-04-03T23:00:00,WWW,Fiji,7,0,0,0,7,0
2020-04-03T23:00:00,WWW,Finland,1518,0,0,0,1518,19
2020-04-03T23:00:00,WWW,France,59105,0,0,0,59105,4503
2020-04-03T23:00:00,WWW,French Polynesia,37,0,0,0,37,0
2020-04-03T23:00:00,WWW,Gabon,18,0,0,0,18,1
2020-04-03T23:00:00,WWW,Gambia,4,0,0,0,4,1
2020-04-03T23:00:00,WWW,Georgia,121,0,0,0,121,0
2020-04-03T23:00:00,WWW,Germany,73522,0,0,0,73522,872
2020-04-03T23:00:00,WWW,Ghana,204,0,0,0,204,5
2020-04-03T23:00:00,WWW,Gibraltar,88,0,0,0,88,1
2020-04-03T23:00:00,WWW,Greece,1514,0,0,0,1514,53
2020-04-03T23:00:00,WWW,Greenland,10,0,0,0,10,0
2020-04-03T23:00:00,WWW,Grenada,10,0,0,0,10,0
2020-04-03T23:00:00,WWW,Guam,82,0,0,0,82,3
2020-04-03T23:00:00,WWW,Guatemala,47,0,0,0,47,1
2020-04-03T23:00:00,WWW,Guernsey,91,0,0,0,91,0
2020-04-03T23:00:00,WWW,Guinea,52,0,0,0,52,0
2020-04-03T23:00:00,WWW,Guinea Bissau,9,0,0,0,9,0
2020-04-03T23:00:00,WWW,Guyana,19,0,0,0,19,4
2020-04-03T23:00:00,WWW,Haiti,18,0,0,0,18,0
2020-04-03T23:00:00,WWW,Holy See,6,0,0,0,6,0
2020-04-03T23:00:00,WWW,Honduras,222,0,0,0,222,15
2020-04-03T23:00:00,WWW,Hungary,585,0,0,0,585,21
2020-04-03T23:00:00,WWW,Iceland,1319,0,0,0,1319,4
2020-04-03T23:00:00,WWW,India,2301,0,0,0,2301,56
2020-04-03T23:00:00,WWW,Indonesia,1790,0,0,0,1790,170
2020-04-03T23:00:00,WWW,Iran,50468,0,0,0,50468,3160
2020-04-03T23:00:00,WWW,Iraq,772,0,0,0,772,54
2020-04-03T23:00:00,WWW,Ireland,3849,0,0,0,3849,98
2020-04-03T23:00:00,WWW,Isle of Man,71,0,0,0,71,1
2020-04-03T23:00:00,WWW,Israel,6252,0,0,0,6252,34
2020-04-03T23:00:00,WWW,Italy,115242,0,0,0,115242,13917
2020-04-03T23:00:00,WWW,Jamaica,47,0,0,0,47,3
2020-04-03T23:00:00,WWW,Japan,2617,0,0,0,2617,63
2020-04-03T23:00:00,WWW,Jersey,81,0,0,0,81,2
2020-04-03T23:00:00,WWW,Jordan,299,0,0,0,299,5
2020-04-03T23:00:00,WWW,Kazakhstan,386,0,0,0,386,3
2020-04-03T23:00:00,WWW,Kenya,110,0,0,0,110,3
2020-04-03T23:00:00,WWW,Kosovo,125,0,0,0,125,1
2020-04-03T23:00:00,WWW,Kuwait,342,0,0,0,342,0
2020-04-03T23:00:00,WWW,Kyrgyzstan,125,0,0,0,125,1
2020-04-03T23:00:00,WWW,Laos,10,0,0,0,10,0
2020-04-03T23:00:00,WWW,Latvia,458,0,0,0,458,0
2020-04-03T23:00:00,WWW,Lebanon,494,0,0,0,494,16
2020-04-03T23:00:00,WWW,Liberia,6,0,0,0,6,0
2020-04-03T23:00:00,WWW,Libya,11,0,0,0,11,1
