Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,CZE,Jihoceský,121,0,0,0,121,0
2020-04-08T09:00:00,CZE,Jihomoravský,289,0,0,0,289,0
2020-04-08T09:00:00,CZE,Karlovarský,162,0,0,0,162,0
2020-04-08T09:00:00,CZE,Královéhradecký,140,0,0,0,140,0
2020-04-08T09:00:00,CZE,Liberecký,156,0,0,0,156,0
2020-04-08T09:00:00,CZE,Moravskoslezský,494,0,0,0,494,0
2020-04-08T09:00:00,CZE,NOT SPECIFIED,0,0,0,0,0,80
2020-04-08T09:00:00,CZE,Olomoucký,438,0,0,0,438,0
2020-04-08T09:00:00,CZE,Pardubický,180,0,0,0,180,0
2020-04-08T09:00:00,CZE,Plzenský,274,0,0,0,274,0
2020-04-08T09:00:00,CZE,Prague,1214,0,0,0,1214,0
2020-04-08T09:00:00,CZE,Stredoceský,595,0,0,0,595,0
2020-04-08T09:00:00,CZE,Unknown,99,0,0,0,99,0
2020-04-08T09:00:00,CZE,Ústecký,327,0,0,0,327,0
2020-04-08T09:00:00,CZE,Vysocina,140,0,0,0,140,0
2020-04-08T09:00:00,CZE,Zlínský,199,0,0,0,199,0
