Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,DNK,Faroe,184,0,0,0,184,0
2020-04-08T09:00:00,DNK,Greenland,11,0,0,0,11,0
2020-04-08T09:00:00,DNK,Hovedstaden,2636,0,0,0,2636,0
2020-04-08T09:00:00,DNK,Mainland,860,0,0,0,860,0
2020-04-08T09:00:00,DNK,Midtjylland,763,0,0,0,763,0
2020-04-08T09:00:00,DNK,Nordjylland,277,0,0,0,277,0
2020-04-08T09:00:00,DNK,NOT SPECIFIED,0,0,0,0,0,197
2020-04-08T09:00:00,DNK,Other,34,0,0,0,34,0
2020-04-08T09:00:00,DNK,Sjælland,653,0,0,0,653,0
2020-04-08T09:00:00,DNK,Syddanmark,615,0,0,0,615,0
