Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-03T23:00:00,FIN,Ahvenanmaa,7,0,0,0,7,0
2020-04-03T23:00:00,FIN,Etelä-Karjala,9,0,0,0,9,0
2020-04-03T23:00:00,FIN,Etelä-Pohjanmaa,21,0,0,0,21,0
2020-04-03T23:00:00,FIN,Etelä-Savo,29,0,0,0,29,0
2020-04-03T23:00:00,FIN,HUS,1015,0,0,0,1015,0
2020-04-03T23:00:00,FIN,Itä-Savo,3,0,0,0,3,0
2020-04-03T23:00:00,FIN,Kainuu,8,0,0,0,8,0
2020-04-03T23:00:00,FIN,Kanta-Häme,23,0,0,0,23,0
2020-04-03T23:00:00,FIN,Keski-Pohjanmaa,7,0,0,0,7,0
2020-04-03T23:00:00,FIN,Keski-Suomi,54,0,0,0,54,0
2020-04-03T23:00:00,FIN,Kymenlaakso,12,0,0,0,12,0
2020-04-03T23:00:00,FIN,Länsi-Pohja,9,0,0,0,9,0
2020-04-03T23:00:00,FIN,Lappi,26,0,0,0,26,0
2020-04-03T23:00:00,FIN,NOT SPECIFIED,1025,0,0,0,1025,0
2020-04-03T23:00:00,FIN,Päijät-Häme,37,0,0,0,37,0
2020-04-03T23:00:00,FIN,Pirkanmaa,111,0,0,0,111,0
2020-04-03T23:00:00,FIN,Pohjois-Karjala,10,0,0,0,10,0
2020-04-03T23:00:00,FIN,Pohjois-Pohjanmaa,66,0,0,0,66,0
2020-04-03T23:00:00,FIN,Pohjois-Savo,43,0,0,0,43,0
2020-04-03T23:00:00,FIN,Satakunta,24,0,0,0,24,0
2020-04-03T23:00:00,FIN,Unknown,20,0,0,0,20,0
2020-04-03T23:00:00,FIN,Vaasa,21,0,0,0,21,0
2020-04-03T23:00:00,FIN,Varsinais-Suomi,80,0,0,0,80,0
2020-04-03T23:00:00,FIN,West North,2,0,0,0,2,0
