Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,FIN,Ahvenanmaa,8,0,0,0,8,0
2020-04-08T09:00:00,FIN,Etelä-Karjala,12,0,0,0,12,0
2020-04-08T09:00:00,FIN,Etelä-Pohjanmaa,26,0,0,0,26,0
2020-04-08T09:00:00,FIN,Etelä-Savo,33,0,0,0,33,0
2020-04-08T09:00:00,FIN,HUS,1568,0,0,0,1568,0
2020-04-08T09:00:00,FIN,Itä-Savo,9,0,0,0,9,0
2020-04-08T09:00:00,FIN,Kainuu,26,0,0,0,26,0
2020-04-08T09:00:00,FIN,Kanta-Häme,47,0,0,0,47,0
2020-04-08T09:00:00,FIN,Keski-Pohjanmaa,9,0,0,0,9,0
2020-04-08T09:00:00,FIN,Keski-Suomi,90,0,0,0,90,0
2020-04-08T09:00:00,FIN,Kymenlaakso,26,0,0,0,26,0
2020-04-08T09:00:00,FIN,Länsi-Pohja,29,0,0,0,29,0
2020-04-08T09:00:00,FIN,Lappi,35,0,0,0,35,0
2020-04-08T09:00:00,FIN,NOT SPECIFIED,1025,0,0,0,1025,0
2020-04-08T09:00:00,FIN,Päijät-Häme,43,0,0,0,43,0
2020-04-08T09:00:00,FIN,Pirkanmaa,157,0,0,0,157,0
2020-04-08T09:00:00,FIN,Pohjois-Karjala,14,0,0,0,14,0
2020-04-08T09:00:00,FIN,Pohjois-Pohjanmaa,88,0,0,0,88,0
2020-04-08T09:00:00,FIN,Pohjois-Savo,73,0,0,0,73,0
2020-04-08T09:00:00,FIN,Satakunta,34,0,0,0,34,0
2020-04-08T09:00:00,FIN,Unknown,20,0,0,0,20,0
2020-04-08T09:00:00,FIN,Vaasa,30,0,0,0,30,0
2020-04-08T09:00:00,FIN,Varsinais-Suomi,130,0,0,0,130,0
2020-04-08T09:00:00,FIN,West North,2,0,0,0,2,0
