Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-03T23:00:00,GBR,Ayrshire and Arran,240,0,0,0,240,0
2020-04-03T23:00:00,GBR,Borders,100,0,0,0,100,0
2020-04-03T23:00:00,GBR,Dumfries and Galloway,122,0,0,0,122,0
2020-04-03T23:00:00,GBR,East of England,2384,0,0,0,2384,0
2020-04-03T23:00:00,GBR,Eileanan Siar (Western Isles),3,0,0,0,3,0
2020-04-03T23:00:00,GBR,Fatalities England,0,0,0,0,0,2698
2020-04-03T23:00:00,GBR,Fatalities Scotland,0,0,0,0,0,76
2020-04-03T23:00:00,GBR,Fife,147,0,0,0,147,0
2020-04-03T23:00:00,GBR,Forth Valley,189,0,0,0,189,0
2020-04-03T23:00:00,GBR,Grampian,173,0,0,0,173,0
2020-04-03T23:00:00,GBR,Greater Glasgow and Clyde,779,0,0,0,779,0
2020-04-03T23:00:00,GBR,Highland,72,0,0,0,72,0
2020-04-03T23:00:00,GBR,Lanarkshire,377,0,0,0,377,0
2020-04-03T23:00:00,GBR,London,10247,0,0,0,10247,0
2020-04-03T23:00:00,GBR,Lothian,408,0,0,0,408,0
2020-04-03T23:00:00,GBR,Midlands,5537,0,0,0,5537,0
2020-04-03T23:00:00,GBR,North East and Yorkshire,3823,0,0,0,3823,0
2020-04-03T23:00:00,GBR,North West,3537,0,0,0,3537,0
2020-04-03T23:00:00,GBR,Northern Ireland,904,0,0,0,904,36
2020-04-03T23:00:00,GBR,Orkney,2,0,0,0,2,0
2020-04-03T23:00:00,GBR,Scotland,0,0,0,0,0,126
2020-04-03T23:00:00,GBR,Shetland,36,0,0,0,36,0
2020-04-03T23:00:00,GBR,South East,3732,0,0,0,3732,0
2020-04-03T23:00:00,GBR,South West,1386,0,0,0,1386,0
2020-04-03T23:00:00,GBR,Tayside,353,0,0,0,353,0
2020-04-03T23:00:00,GBR,Unknown,1151,0,0,0,1151,3302
2020-04-03T23:00:00,GBR,Wales,2466,0,0,0,2466,141
2020-04-03T23:00:00,GBR,Yet unclassified,15,0,0,0,15,0
