Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-03T23:00:00,GRC,Achaea,22,0,0,0,22,1
2020-04-03T23:00:00,GRC,Argolis,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Arkadias,3,0,0,0,3,0
2020-04-03T23:00:00,GRC,Arta,7,0,0,0,7,0
2020-04-03T23:00:00,GRC,Athens,641,0,0,0,641,27
2020-04-03T23:00:00,GRC,Athos,4,0,0,0,4,0
2020-04-03T23:00:00,GRC,Beozia,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Chania,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Corfu,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Corinth,2,0,0,0,2,0
2020-04-03T23:00:00,GRC,Cyclades,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Dodecaneso,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Drama,3,0,0,0,3,0
2020-04-03T23:00:00,GRC,East Attica,57,0,0,0,57,0
2020-04-03T23:00:00,GRC,Elis,46,0,0,0,46,2
2020-04-03T23:00:00,GRC,Euboea,23,0,0,0,23,0
2020-04-03T23:00:00,GRC,Evros,6,0,0,0,6,1
2020-04-03T23:00:00,GRC,Florina,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Heraklion,10,0,0,0,10,1
2020-04-03T23:00:00,GRC,Ikaria,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Ioannina,2,0,0,0,2,0
2020-04-03T23:00:00,GRC,Kastoria,36,0,0,0,36,8
2020-04-03T23:00:00,GRC,Kavalas,3,0,0,0,3,0
2020-04-03T23:00:00,GRC,Kefalonia,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Khalkidiki,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Khios,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Kilkis,3,0,0,0,3,0
2020-04-03T23:00:00,GRC,Kozani,16,0,0,0,16,8
2020-04-03T23:00:00,GRC,Laconia,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Larissa,13,0,0,0,13,0
2020-04-03T23:00:00,GRC,Lasithi,2,0,0,0,2,0
2020-04-03T23:00:00,GRC,Lefkadas,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Lesbos,8,0,0,0,8,1
2020-04-03T23:00:00,GRC,Magnesia,2,0,0,0,2,0
2020-04-03T23:00:00,GRC,Messinia,7,0,0,0,7,0
2020-04-03T23:00:00,GRC,Pella,7,0,0,0,7,2
2020-04-03T23:00:00,GRC,Pieria,3,0,0,0,3,0
2020-04-03T23:00:00,GRC,Pireas,176,0,0,0,176,0
2020-04-03T23:00:00,GRC,Prevezas,2,0,0,0,2,0
2020-04-03T23:00:00,GRC,Rethymnon,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Serron,9,0,0,0,9,0
2020-04-03T23:00:00,GRC,Tessaloniki,32,0,0,0,32,5
2020-04-03T23:00:00,GRC,Trikalon,1,0,0,0,1,0
2020-04-03T23:00:00,GRC,Unknown,423,0,0,0,423,0
2020-04-03T23:00:00,GRC,West Attica,4,0,0,0,4,0
2020-04-03T23:00:00,GRC,Xanthis,22,0,0,0,22,5
2020-04-03T23:00:00,GRC,Zakynthos,5,0,0,0,5,1
