Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,HRV,Bjelovarsko-bilogorska,9,0,0,0,9,0
2020-04-08T09:00:00,HRV,Brodsko-Posavska,17,0,0,0,17,1
2020-04-08T09:00:00,HRV,Dubrovačko-neretvanska,63,0,0,0,63,1
2020-04-08T09:00:00,HRV,Grad Zagreb,360,0,0,0,360,4
2020-04-08T09:00:00,HRV,Istarska,76,0,0,0,76,2
2020-04-08T09:00:00,HRV,Karlovačka,22,0,0,0,22,1
2020-04-08T09:00:00,HRV,Koprivničko-križevačka,19,0,0,0,19,0
2020-04-08T09:00:00,HRV,Krapinsko-zagorska županija,83,0,0,0,83,0
2020-04-08T09:00:00,HRV,Ličko-senjska,2,0,0,0,2,0
2020-04-08T09:00:00,HRV,Međimurska,6,0,0,0,6,0
2020-04-08T09:00:00,HRV,Osječko-baranjska,79,0,0,0,79,5
2020-04-08T09:00:00,HRV,Požeško-slavonska,3,0,0,0,3,0
2020-04-08T09:00:00,HRV,Primorsko-Goranska,68,0,0,0,68,0
2020-04-08T09:00:00,HRV,Šibensko-kninska,42,0,0,0,42,0
2020-04-08T09:00:00,HRV,Sisačko-moslavačka,21,0,0,0,21,0
2020-04-08T09:00:00,HRV,Splitsko-Dalmatinska,196,0,0,0,196,0
2020-04-08T09:00:00,HRV,Unknow,1,0,0,0,1,0
2020-04-08T09:00:00,HRV,Varaždinska,33,0,0,0,33,0
2020-04-08T09:00:00,HRV,Virovitičko-podravska,4,0,0,0,4,0
2020-04-08T09:00:00,HRV,Vukovarsko-srijemska,28,0,0,0,28,0
2020-04-08T09:00:00,HRV,Zadarska,56,0,0,0,56,1
2020-04-08T09:00:00,HRV,Zagrebačka,95,0,0,0,95,0
