Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-03T23:00:00,ISL,Abroad,0,0,0,0,0,0
2020-04-03T23:00:00,ISL,East Iceland,6,0,0,0,6,0
2020-04-03T23:00:00,ISL,Greater Reykjavík,1006,0,0,0,1006,0
2020-04-03T23:00:00,ISL,Northeast Iceland,37,0,0,0,37,0
2020-04-03T23:00:00,ISL,Northwest Iceland,32,0,0,0,32,0
2020-04-03T23:00:00,ISL,NOT SPECIFIED,38,0,0,0,38,0
2020-04-03T23:00:00,ISL,South Iceland,128,0,0,0,128,0
2020-04-03T23:00:00,ISL,Suðurnes Peninsula,64,0,0,0,64,0
2020-04-03T23:00:00,ISL,West Fjords,27,0,0,0,27,0
2020-04-03T23:00:00,ISL,West Iceland,26,0,0,0,26,0
