Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,ISL,Abroad,0,0,0,0,0,0
2020-04-08T09:00:00,ISL,East Iceland,6,0,0,0,6,0
2020-04-08T09:00:00,ISL,Greater Reykjavík,1143,0,0,0,1143,0
2020-04-08T09:00:00,ISL,Northeast Iceland,43,0,0,0,43,0
2020-04-08T09:00:00,ISL,Northwest Iceland,35,0,0,0,35,0
2020-04-08T09:00:00,ISL,NOT SPECIFIED,45,0,0,0,45,0
2020-04-08T09:00:00,ISL,South Iceland,166,0,0,0,166,0
2020-04-08T09:00:00,ISL,Suðurnes Peninsula,72,0,0,0,72,0
2020-04-08T09:00:00,ISL,West Fjords,47,0,0,0,47,0
2020-04-08T09:00:00,ISL,West Iceland,29,0,0,0,29,0
