Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,POL,Dolnośląskie,527,0,0,0,527,14
2020-04-08T09:00:00,POL,Kujawsko-pomorskie,264,0,0,0,264,1
2020-04-08T09:00:00,POL,Łódzkie,358,0,0,0,358,5
2020-04-08T09:00:00,POL,Lubelskie,192,0,0,0,192,7
2020-04-08T09:00:00,POL,Lubuskie,62,0,0,0,62,0
2020-04-08T09:00:00,POL,Małopolskie,371,0,0,0,371,8
2020-04-08T09:00:00,POL,Mazowieckie,1247,0,0,0,1247,25
2020-04-08T09:00:00,POL,Opolskie,107,0,0,0,107,3
2020-04-08T09:00:00,POL,Podkarpackie,168,0,0,0,168,7
2020-04-08T09:00:00,POL,Podlaskie,127,0,0,0,127,1
2020-04-08T09:00:00,POL,Pomorskie,135,0,0,0,135,0
2020-04-08T09:00:00,POL,Śląskie,601,0,0,0,601,32
2020-04-08T09:00:00,POL,Świętokrzyskie,120,0,0,0,120,1
2020-04-08T09:00:00,POL,Warmińsko-mazurskie,87,0,0,0,87,1
2020-04-08T09:00:00,POL,Wielkopolskie,349,0,0,0,349,22
2020-04-08T09:00:00,POL,Zachodniopomorskie,133,0,0,0,133,2
