Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-03T23:00:00,RUS,Adygea,5,0,0,0,5,0
2020-04-03T23:00:00,RUS,Altai,4,0,0,0,4,0
2020-04-03T23:00:00,RUS,Amur,1,0,0,0,1,0
2020-04-03T23:00:00,RUS,Arkhangelsk,7,0,0,0,7,0
2020-04-03T23:00:00,RUS,Astrakhan,2,0,0,0,2,0
2020-04-03T23:00:00,RUS,Bashkortostan,10,0,0,0,10,0
2020-04-03T23:00:00,RUS,Belgorod,6,0,0,0,6,0
2020-04-03T23:00:00,RUS,Bryansk,5,0,0,0,5,0
2020-04-03T23:00:00,RUS,Buryatia,30,0,0,0,30,0
2020-04-03T23:00:00,RUS,Chechnya,10,0,0,0,10,0
2020-04-03T23:00:00,RUS,Chelyabinsk,21,0,0,0,21,0
2020-04-03T23:00:00,RUS,Chuvashia,1,0,0,0,1,0
2020-04-03T23:00:00,RUS,Dagestan,25,0,0,0,25,0
2020-04-03T23:00:00,RUS,Irkutsk,7,0,0,0,7,0
2020-04-03T23:00:00,RUS,Ivanovo,11,0,0,0,11,0
2020-04-03T23:00:00,RUS,Kabardino-Balkaria,8,0,0,0,8,0
2020-04-03T23:00:00,RUS,Kaliningrad,19,0,0,0,19,0
2020-04-03T23:00:00,RUS,Kalmykia,2,0,0,0,2,0
2020-04-03T23:00:00,RUS,Kaluga,4,0,0,0,4,0
2020-04-03T23:00:00,RUS,Kemerovo,3,0,0,0,3,0
2020-04-03T23:00:00,RUS,Khabarovsk,9,0,0,0,9,0
2020-04-03T23:00:00,RUS,Khakassia,3,0,0,0,3,0
2020-04-03T23:00:00,RUS,Khanty-Mansi AO,8,0,0,0,8,0
2020-04-03T23:00:00,RUS,Kirov,12,0,0,0,12,0
2020-04-03T23:00:00,RUS,Komi Republic,56,0,0,0,56,0
2020-04-03T23:00:00,RUS,Kostroma,3,0,0,0,3,0
2020-04-03T23:00:00,RUS,Krasnodar,22,0,0,0,22,0
2020-04-03T23:00:00,RUS,Krasnoyarsk,25,0,0,0,25,0
2020-04-03T23:00:00,RUS,Kurgan,1,0,0,0,1,0
2020-04-03T23:00:00,RUS,Kursk,3,0,0,0,3,0
2020-04-03T23:00:00,RUS,Leningrad,31,0,0,0,31,0
2020-04-03T23:00:00,RUS,Lipetsk,15,0,0,0,15,0
2020-04-03T23:00:00,RUS,Magadan,1,0,0,0,1,0
2020-04-03T23:00:00,RUS,Mari El,4,0,0,0,4,0
2020-04-03T23:00:00,RUS,Mordovia,4,0,0,0,4,0
2020-04-03T23:00:00,RUS,Moscow,2652,0,0,0,2652,0
2020-04-03T23:00:00,RUS,Murmansk,15,0,0,0,15,0
2020-04-03T23:00:00,RUS,Nizhny Novgorod,25,0,0,0,25,0
2020-04-03T23:00:00,RUS,North Ossetia-Alania,4,0,0,0,4,0
2020-04-03T23:00:00,RUS,NOT SPECIFIED,0,0,0,0,0,30
2020-04-03T23:00:00,RUS,Novgorod,3,0,0,0,3,0
2020-04-03T23:00:00,RUS,Novosibirsk,10,0,0,0,10,0
2020-04-03T23:00:00,RUS,Omsk,9,0,0,0,9,0
2020-04-03T23:00:00,RUS,Orenburg,12,0,0,0,12,0
2020-04-03T23:00:00,RUS,Oryol,3,0,0,0,3,0
2020-04-03T23:00:00,RUS,Penza,16,0,0,0,16,0
2020-04-03T23:00:00,RUS,Perm,20,0,0,0,20,0
2020-04-03T23:00:00,RUS,Primorsky,5,0,0,0,5,0
2020-04-03T23:00:00,RUS,Pskov,9,0,0,0,9,0
2020-04-03T23:00:00,RUS,Republic of Crimea,21,0,0,0,21,0
2020-04-03T23:00:00,RUS,Rostov,9,0,0,0,9,0
2020-04-03T23:00:00,RUS,Ryazan,5,0,0,0,5,0
2020-04-03T23:00:00,RUS,Saint Petersburg,147,0,0,0,147,0
2020-04-03T23:00:00,RUS,Sakhalin,5,0,0,0,5,0
2020-04-03T23:00:00,RUS,Samara,17,0,0,0,17,0
2020-04-03T23:00:00,RUS,Saratov,15,0,0,0,15,0
2020-04-03T23:00:00,RUS,Smolensk,1,0,0,0,1,0
2020-04-03T23:00:00,RUS,Stavropol,11,0,0,0,11,0
2020-04-03T23:00:00,RUS,Sverdlovsk,38,0,0,0,38,0
2020-04-03T23:00:00,RUS,Tambov,6,0,0,0,6,0
2020-04-03T23:00:00,RUS,Tatarstan,19,0,0,0,19,0
2020-04-03T23:00:00,RUS,Tomsk,3,0,0,0,3,0
2020-04-03T23:00:00,RUS,Tula,17,0,0,0,17,0
2020-04-03T23:00:00,RUS,Tver,5,0,0,0,5,0
2020-04-03T23:00:00,RUS,Tyumen,6,0,0,0,6,0
2020-04-03T23:00:00,RUS,Udmurtia,4,0,0,0,4,0
2020-04-03T23:00:00,RUS,Ulyanovsk,1,0,0,0,1,0
2020-04-03T23:00:00,RUS,Vladimir,3,0,0,0,3,0
2020-04-03T23:00:00,RUS,Volgograd,8,0,0,0,8,0
2020-04-03T23:00:00,RUS,Vologda,12,0,0,0,12,0
2020-04-03T23:00:00,RUS,Voronezh,12,0,0,0,12,0
2020-04-03T23:00:00,RUS,Yakutia,15,0,0,0,15,0
2020-04-03T23:00:00,RUS,Yamalo-Nenets AO,2,0,0,0,2,0
2020-04-03T23:00:00,RUS,Yaroslavl,3,0,0,0,3,0
2020-04-03T23:00:00,RUS,Zabaykalsky,1,0,0,0,1,0
