Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,SVN,Gorenjske,67,0,0,0,67,0
2020-04-08T09:00:00,SVN,Goriške,20,0,0,0,20,0
2020-04-08T09:00:00,SVN,Jugovzhodne,109,0,0,0,109,0
2020-04-08T09:00:00,SVN,Koroške,40,0,0,0,40,0
2020-04-08T09:00:00,SVN,Obalno-kraške,19,0,0,0,19,0
2020-04-08T09:00:00,SVN,Obalno-kraške,,19,0,0,0,19,0
2020-04-08T09:00:00,SVN,Osrednjeslovenske,326,0,0,0,326,0
2020-04-08T09:00:00,SVN,Podravske,66,0,0,0,66,0
2020-04-08T09:00:00,SVN,Podravske,,84,0,0,0,84,0
2020-04-08T09:00:00,SVN,Pomurske,87,0,0,0,87,0
2020-04-08T09:00:00,SVN,Posavske,10,0,0,0,10,0
2020-04-08T09:00:00,SVN,Primorsko-notranjske,29,0,0,0,29,0
2020-04-08T09:00:00,SVN,Savinjske,233,0,0,0,233,0
2020-04-08T09:00:00,SVN,Slovenia,730,0,0,0,730,12
2020-04-08T09:00:00,SVN,Zasavske,23,0,0,0,23,0
