Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,SWE,Blekinge,37,0,0,0,37,0
2020-04-08T09:00:00,SWE,Dalarna,215,0,0,0,215,0
2020-04-08T09:00:00,SWE,Gävleborg,202,0,0,0,202,0
2020-04-08T09:00:00,SWE,Gotland,13,0,0,0,13,0
2020-04-08T09:00:00,SWE,Halland,141,0,0,0,141,0
2020-04-08T09:00:00,SWE,Jämtland,92,0,0,0,92,0
2020-04-08T09:00:00,SWE,Jönköping,254,0,0,0,254,0
2020-04-08T09:00:00,SWE,Kalmar,57,0,0,0,57,0
2020-04-08T09:00:00,SWE,Kronoberg,54,0,0,0,54,0
2020-04-08T09:00:00,SWE,Norrbotten,95,0,0,0,95,0
2020-04-08T09:00:00,SWE,NOT SPECIFIED,-640,640,640,0,0,591
2020-04-08T09:00:00,SWE,Örebro,185,0,0,0,185,0
2020-04-08T09:00:00,SWE,Östergötland,733,0,0,0,733,0
2020-04-08T09:00:00,SWE,Skåne,366,0,0,0,366,0
2020-04-08T09:00:00,SWE,Södermanland,478,0,0,0,478,0
2020-04-08T09:00:00,SWE,Stockholm,3279,0,0,0,3279,0
2020-04-08T09:00:00,SWE,Uppsala,332,0,0,0,332,0
2020-04-08T09:00:00,SWE,Värmland,58,0,0,0,58,0
2020-04-08T09:00:00,SWE,Västerbotten,128,0,0,0,128,0
2020-04-08T09:00:00,SWE,Västernorrland,78,0,0,0,78,0
2020-04-08T09:00:00,SWE,Västmanland,222,0,0,0,222,0
2020-04-08T09:00:00,SWE,Västra Götaland,674,0,0,0,674,0
