Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,UKR,Cherkasy,62,0,0,0,62,0
2020-04-08T09:00:00,UKR,Chernihiv,7,0,0,0,7,0
2020-04-08T09:00:00,UKR,Chernivtsi,247,0,0,0,247,0
2020-04-08T09:00:00,UKR,Dnipropetrovsk,15,0,0,0,15,0
2020-04-08T09:00:00,UKR,Donetsk,10,0,0,0,10,0
2020-04-08T09:00:00,UKR,Ivano-Frankivsk,160,0,0,0,160,0
2020-04-08T09:00:00,UKR,Kharkiv,1,0,0,0,1,0
2020-04-08T09:00:00,UKR,Kherson,13,0,0,0,13,0
2020-04-08T09:00:00,UKR,Khmelnytsky,10,0,0,0,10,0
2020-04-08T09:00:00,UKR,Kiev region,97,0,0,0,97,0
2020-04-08T09:00:00,UKR,Kirovograd,53,0,0,0,53,0
2020-04-08T09:00:00,UKR,Kyiv,253,0,0,0,253,0
2020-04-08T09:00:00,UKR,Lugansk,3,0,0,0,3,0
2020-04-08T09:00:00,UKR,Lviv,29,0,0,0,29,0
2020-04-08T09:00:00,UKR,Mykolaiv,1,0,0,0,1,0
2020-04-08T09:00:00,UKR,NOT SPECIFIED,0,0,0,0,0,45
2020-04-08T09:00:00,UKR,Odessa,30,0,0,0,30,0
2020-04-08T09:00:00,UKR,Poltava,12,0,0,0,12,0
2020-04-08T09:00:00,UKR,Rivne,40,0,0,0,40,0
2020-04-08T09:00:00,UKR,Sumy,51,0,0,0,51,0
2020-04-08T09:00:00,UKR,Ternopil,168,0,0,0,168,0
2020-04-08T09:00:00,UKR,Transcarpathian,38,0,0,0,38,0
2020-04-08T09:00:00,UKR,Vinnytsia,77,0,0,0,77,0
2020-04-08T09:00:00,UKR,Volyn,34,0,0,0,34,0
2020-04-08T09:00:00,UKR,Zaporizhzhia,41,0,0,0,41,0
2020-04-08T09:00:00,UKR,Zhytomyr,11,0,0,0,11,0
