Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-01-24,FRA,France,Île-de-France,48.709229,2.503473,2,0,0,2,2,0,True,True
2020-01-24,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-01-25,FRA,France,Île-de-France,48.709229,2.503473,2,0,0,2,2,0,True,True
2020-01-25,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-01-26,FRA,France,Île-de-France,48.709229,2.503473,2,0,0,2,2,0,True,True
2020-01-26,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-01-27,FRA,France,Île-de-France,48.709229,2.503473,2,0,0,2,2,0,True,True
2020-01-27,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-01-28,FRA,France,Île-de-France,48.709229,2.503473,3,0,0,3,3,0,True,True
2020-01-28,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-01-29,FRA,France,Île-de-France,48.709229,2.503473,4,0,0,4,4,0,True,True
2020-01-29,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-01-30,FRA,France,Île-de-France,48.709229,2.503473,5,0,0,5,5,0,True,True
2020-01-30,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-01-31,FRA,France,Île-de-France,48.709229,2.503473,5,0,0,5,5,0,True,True
2020-01-31,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-01-31,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,2,,,,,,False,True
2020-02-03,FRA,France,Île-de-France,48.709229,2.503473,5,0,0,5,5,0,True,True
2020-02-03,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-02-05,FRA,France,Île-de-France,48.709229,2.503473,5,0,0,5,5,0,True,True
2020-02-05,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-02-06,FRA,France,Île-de-France,48.709229,2.503473,5,0,0,5,5,0,True,True
2020-02-06,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-02-06,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,2,,,,,,False,True
2020-02-06,GBR,United Kingdom,South East,51.291417,-0.521902,1,,,,,,False,True
2020-02-07,FRA,France,Auvergne-Rhône-Alpes,45.283026,4.624017,5,0,0,5,5,0,True,True
2020-02-07,FRA,France,Île-de-France,48.709229,2.503473,5,0,0,5,5,0,True,True
2020-02-07,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,1,0,True,True
2020-02-08,FRA,France,Auvergne-Rhône-Alpes,45.283026,4.624017,5,0,0,5,0,0,True,True
