Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-05-23,ALB,Albania,Berat,40.6285,20.090775,14,0,4,10,0,0,False,False
2020-05-23,ALB,Albania,Dibër,,,1,0,1,0,0,0,False,False
2020-05-23,ALB,Albania,Durrës,41.518365,19.651766,238,6,155,77,2,1,False,False
2020-05-23,ALB,Albania,Elbasan,41.040028,20.186454,20,0,19,1,0,1,False,False
2020-05-23,ALB,Albania,Fier,40.774633,19.620528,52,3,45,4,2,0,False,False
2020-05-23,ALB,Albania,Gjirokastër,,,0,0,0,0,0,0,False,False
2020-05-23,ALB,Albania,Korçë,40.62883,20.666004,19,0,18,1,1,0,False,False
2020-05-23,ALB,Albania,Kukës,42.066696,20.419467,37,1,36,0,0,0,False,False
2020-05-23,ALB,Albania,Lezhë,41.801452,19.845695,52,0,51,1,1,0,False,False
2020-05-23,ALB,Albania,NOT SPECIFIED,,,0,0,0,0,0,0,False,False
2020-05-23,ALB,Albania,Shkodër,42.17682,19.719451,122,2,110,10,1,1,False,False
2020-05-23,ALB,Albania,Tiranë,41.268583,19.793936,429,18,340,71,4,2,False,False
2020-05-23,ALB,Albania,Vlorë,40.162418,19.793592,5,1,4,0,0,0,False,False
2020-05-23,AND,Andorra,Andorra,42.542268,1.596865,762,51,0,711,0,0,False,False
2020-05-23,AUT,Austria,Burgenland,47.541449,16.520206,342,11,318,13,0,0,True,True
2020-05-23,AUT,Austria,Kärnten,46.715832,14.455532,411,13,395,3,0,0,True,True
2020-05-23,AUT,Austria,Niederösterreich,48.27051,15.763245,2824,92,2583,149,0,0,True,True
2020-05-23,AUT,Austria,NOT SPECIFIED,,,0,0,0,0,187,35,True,True
2020-05-23,AUT,Austria,Oberösterreich,48.138166,13.964295,2285,56,2202,27,0,0,True,True
2020-05-23,AUT,Austria,Salzburg,47.254051,13.032653,1238,37,1192,9,0,0,True,True
2020-05-23,AUT,Austria,Steiermark,47.187361,15.518046,1822,133,1599,90,0,0,True,True
2020-05-23,AUT,Austria,Tirol,47.209023,11.397603,3534,101,3398,35,0,0,True,True
2020-05-23,AUT,Austria,Vorarlberg,47.240149,9.896366,898,18,862,18,0,0,True,True
2020-05-23,AUT,Austria,Wien,48.21141,16.380038,3100,146,2488,466,0,0,True,True
2020-05-23,BLR,Belarus,Belarus,53.711111,27.973847,34303,190,0,34113,0,0,False,False
2020-05-23,BEL,Belgium,Brussels,50.836426,4.367415,5762,1418,0,4344,2516,0,True,True
2020-05-23,BEL,Belgium,Flanders,51.036569,4.234165,31879,4605,0,27274,9357,0,True,True
2020-05-23,BEL,Belgium,NOT SPECIFIED,,,1052,0,0,1052,0,0,True,True
2020-05-23,BEL,Belgium,Wallonia,50.312074,5.019093,18117,3214,0,14903,5104,0,True,True
2020-05-22,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,1013,37,0,976,0,0,False,False
2020-05-24,BGR,Bulgaria,Blagoevgrad,41.72282,23.424299,128,9,2,117,0,0,True,True
2020-05-24,BGR,Bulgaria,Burgas,42.491848,27.306892,52,1,18,33,0,0,True,True
2020-05-24,BGR,Bulgaria,Dobrich,43.65074,27.936751,13,0,2,11,0,0,True,True
2020-05-24,BGR,Bulgaria,Gabrovo,42.931879,25.247163,9,1,2,6,0,0,True,True
2020-05-24,BGR,Bulgaria,Haskovo,41.849113,25.942349,28,1,2,25,0,0,True,True
2020-05-24,BGR,Bulgaria,Kardzhali,41.527042,25.441477,15,0,4,11,0,0,True,True
2020-05-24,BGR,Bulgaria,Kyustendil,42.255307,22.869974,92,3,20,69,0,0,True,True
2020-05-24,BGR,Bulgaria,Lovech,43.035259,24.5688,5,0,1,4,0,0,True,True
2020-05-24,BGR,Bulgaria,Montana,43.496677,23.192363,23,0,0,23,0,0,True,True
2020-05-24,BGR,Bulgaria,NOT SPECIFIED,,,1,3,210,-212,0,0,True,True
2020-05-24,BGR,Bulgaria,Pazardzhik,42.133682,24.140941,115,5,13,97,0,0,True,True
2020-05-24,BGR,Bulgaria,Pernik,42.613861,22.853171,27,0,1,26,0,0,True,True
2020-05-24,BGR,Bulgaria,Pleven,43.486117,24.610919,215,2,8,205,0,0,True,True
2020-05-24,BGR,Bulgaria,Plovdiv,42.257364,24.824903,92,2,45,45,0,0,True,True
2020-05-24,BGR,Bulgaria,Razgrad,,,15,0,0,15,0,0,True,True
2020-05-24,BGR,Bulgaria,Ruse,43.54059,25.759217,18,0,1,17,0,0,True,True
2020-05-24,BGR,Bulgaria,Shumen,43.296516,27.004814,4,1,1,2,0,0,True,True
2020-05-24,BGR,Bulgaria,Silistra,43.946163,27.044927,6,1,2,3,0,0,True,True
2020-05-24,BGR,Bulgaria,Sliven,42.67034,26.241026,78,8,53,17,0,0,True,True
2020-05-24,BGR,Bulgaria,Smolyan,41.628892,24.668089,41,4,33,4,0,0,True,True
2020-05-24,BGR,Bulgaria,Sofia City,42.286287,23.616846,1014,53,388,573,0,0,True,True
2020-05-24,BGR,Bulgaria,Stara Zagora,42.411912,25.567329,40,2,0,38,0,0,True,True
2020-05-24,BGR,Bulgaria,Targovishte,,,1,1,0,0,0,0,True,True
2020-05-24,BGR,Bulgaria,Varna,43.186206,27.59493,28,0,11,17,0,0,True,True
2020-05-24,BGR,Bulgaria,Veliko Tarnovo,43.189524,25.649275,29,4,5,20,0,0,True,True
2020-05-24,BGR,Bulgaria,Vidin,43.797295,22.68621,185,15,3,167,0,0,True,True
