Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-03-03,ALB,Albania,Berat,40.6285,20.090775,4879,79,4026,774,32,3,False,False,AL031
2021-03-03,ALB,Albania,Dibër,,,2292,42,1901,349,6,2,False,False,AL011
2021-03-03,ALB,Albania,Durrës,41.518365,19.651766,8895,176,7090,1629,75,6,False,False,AL012
2021-03-03,ALB,Albania,Elbasan,41.040028,20.186454,7054,186,5969,899,78,4,False,False,AL021
2021-03-03,ALB,Albania,Fier,40.774633,19.620528,9639,163,6841,2635,58,7,False,False,AL032
2021-03-03,ALB,Albania,Gjirokastër,,,3612,41,2483,1088,14,1,False,False,AL033
2021-03-03,ALB,Albania,Korçë,40.62883,20.666004,4770,85,3791,894,9,1,False,False,AL034
2021-03-03,ALB,Albania,Kukës,42.066696,20.419467,2351,33,1980,338,2,1,False,False,AL013
2021-03-03,ALB,Albania,Lezhë,41.801452,19.845695,5042,81,4166,795,17,0,False,False,AL014
2021-03-03,ALB,Albania,NOT SPECIFIED,,,,,,0,,,False,False,
2021-03-03,ALB,Albania,Shkodër,42.17682,19.719451,5554,89,4123,1342,24,1,False,False,AL015
2021-03-03,ALB,Albania,Tiranë,41.268583,19.793936,47991,796,23976,23219,182,12,False,False,AL022
2021-03-03,ALB,Albania,Vlorë,40.162418,19.793592,7595,85,5730,1780,67,4,False,False,AL035
2021-03-03,AND,Andorra,Andorra,42.542268,1.596865,10948,112,,10836,17,,False,False,AD
2021-03-02,AUT,Austria,Burgenland,47.541449,16.520206,12695,228,11468,999,41,13,True,True,AT11
2021-03-02,AUT,Austria,Kärnten,46.715832,14.455532,29596,703,26563,2330,75,16,True,True,AT21
2021-03-02,AUT,Austria,Niederösterreich,48.27051,15.763245,74063,1262,66864,5937,303,78,True,True,AT12
2021-03-02,AUT,Austria,NOT SPECIFIED,,,,,,0,,,True,True,
2021-03-02,AUT,Austria,Oberösterreich,48.138166,13.964295,87106,1404,81623,4079,114,16,True,True,AT31
2021-03-02,AUT,Austria,Salzburg,47.254051,13.032653,38215,501,35812,1902,53,16,True,True,AT32
2021-03-02,AUT,Austria,Steiermark,47.187361,15.518046,56676,1761,51767,3148,165,40,True,True,AT22
2021-03-02,AUT,Austria,Tirol,47.209023,11.397603,47753,627,45767,1359,59,24,True,True,AT33
2021-03-02,AUT,Austria,Vorarlberg,47.240149,9.896366,23274,275,22533,466,22,5,True,True,AT34
2021-03-02,AUT,Austria,Wien,48.21141,16.380038,92305,1709,80925,9671,292,93,True,True,AT13
2021-03-03,BLR,Belarus,Belarus,53.711111,27.973847,290447,2002,,288445,,,False,False,BY
2021-03-02,BEL,Belgium,Brussels,50.836426,4.367415,95871,2779,,93092,306,62,True,True,BE1
2021-03-02,BEL,Belgium,Flanders,51.036569,4.234165,349063,11341,,337722,1055,236,True,True,BE2
2021-03-02,BEL,Belgium,NOT SPECIFIED,,,14285,0,,14285,0,0,True,True,
2021-03-02,BEL,Belgium,Wallonia,50.312074,5.019093,315125,8021,,307104,542,127,True,True,BE3
2021-03-03,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,133982,5174,117396,11412,,,False,False,BA
2021-03-04,BGR,Bulgaria,Blagoevgrad,41.72282,23.424299,12419,10,10,12399,,,True,True,BG413
2021-03-04,BGR,Bulgaria,Burgas,42.491848,27.306892,15632,1,19,15612,,,True,True,BG341
2021-03-04,BGR,Bulgaria,Dobrich,43.65074,27.936751,4223,0,2,4221,,,True,True,BG332
2021-03-04,BGR,Bulgaria,Gabrovo,42.931879,25.247163,4637,1,2,4634,,,True,True,BG322
2021-03-04,BGR,Bulgaria,Haskovo,41.849113,25.942349,5789,1,7,5781,,,True,True,BG422
2021-03-04,BGR,Bulgaria,Kardzhali,41.527042,25.441477,2443,0,4,2439,,,True,True,BG425
2021-03-04,BGR,Bulgaria,Kyustendil,42.255307,22.869974,6172,3,20,6149,,,True,True,BG415
2021-03-04,BGR,Bulgaria,Lovech,43.035259,24.5688,2931,0,1,2930,,,True,True,BG315
2021-03-04,BGR,Bulgaria,Montana,43.496677,23.192363,3571,0,0,3571,,,True,True,BG312
2021-03-04,BGR,Bulgaria,NOT SPECIFIED,,,0,10268,208288,-218556,,,True,True,
2021-03-04,BGR,Bulgaria,Pazardzhik,42.133682,24.140941,7172,9,18,7145,,,True,True,BG423
2021-03-04,BGR,Bulgaria,Pernik,42.613861,22.853171,4739,0,1,4738,,,True,True,BG414
2021-03-04,BGR,Bulgaria,Pleven,43.486117,24.610919,8067,2,10,8055,,,True,True,BG314
2021-03-04,BGR,Bulgaria,Plovdiv,42.257364,24.824903,22951,5,64,22882,,,True,True,BG421
2021-03-04,BGR,Bulgaria,Razgrad,,,2441,0,0,2441,,,True,True,BG324
2021-03-04,BGR,Bulgaria,Ruse,43.54059,25.759217,8411,0,1,8410,,,True,True,BG323
2021-03-04,BGR,Bulgaria,Shumen,43.296516,27.004814,5828,1,1,5826,,,True,True,BG333
2021-03-04,BGR,Bulgaria,Silistra,43.946163,27.044927,3109,1,2,3106,,,True,True,BG325
2021-03-04,BGR,Bulgaria,Sliven,42.67034,26.241026,6755,11,56,6688,,,True,True,BG342
2021-03-04,BGR,Bulgaria,Smolyan,41.628892,24.668089,2514,4,33,2477,,,True,True,BG424
2021-03-04,BGR,Bulgaria,Sofia City,42.286287,23.616846,67390,56,411,66923,,,True,True,BG411
2021-03-04,BGR,Bulgaria,Sofia Region,,,7226,0,0,7226,,,True,True,BG412
2021-03-04,BGR,Bulgaria,Stara Zagora,42.411912,25.567329,10774,3,0,10771,,,True,True,BG344
2021-03-04,BGR,Bulgaria,Targovishte,,,2387,1,0,2386,,,True,True,BG334
2021-03-04,BGR,Bulgaria,Varna,43.186206,27.59493,17982,0,11,17971,,,True,True,BG331
2021-03-04,BGR,Bulgaria,Veliko Tarnovo,43.189524,25.649275,5404,4,5,5395,,,True,True,BG321
2021-03-04,BGR,Bulgaria,Vidin,43.797295,22.68621,1785,18,14,1753,,,True,True,BG311
2021-03-04,BGR,Bulgaria,Vratsa,43.395067,23.759152,6106,0,2,6104,,,True,True,BG313
2021-03-04,BGR,Bulgaria,Yambol,,,4325,14,18,4293,,,True,True,BG343
2021-03-02,HRV,Croatia,Bjelovarsko-bilogorska,45.739855,16.976657,5649,133,,5516,,,True,True,HR047
2021-03-02,HRV,Croatia,Brodsko-Posavska,45.142404,17.821388,8420,123,,8297,,,True,True,HR04A
2021-03-02,HRV,Croatia,Dubrovačko-neretvanska,42.662368,18.15083,5305,76,,5229,,,True,True,HR037
2021-03-02,HRV,Croatia,Grad Zagreb,45.742196,16.008116,46007,1725,,44282,,,True,True,HR041
2021-03-02,HRV,Croatia,Istarska,45.203521,13.895312,6202,82,,6120,,,True,True,HR036
2021-03-02,HRV,Croatia,Karlovačka,45.292126,15.46427,6754,254,,6500,,,True,True,HR04D
2021-03-02,HRV,Croatia,Koprivničko-križevačka,46.066232,16.571467,6151,186,,5965,,,True,True,HR045
2021-03-02,HRV,Croatia,Krapinsko-zagorska županija,46.09492,15.919072,9115,292,,8823,,,True,True,HR043
2021-03-02,HRV,Croatia,Ličko-senjska,44.69075,15.422344,2821,95,,2726,,,True,True,HR032
2021-03-02,HRV,Croatia,Međimurska,46.410728,16.508315,10618,159,,10459,,,True,True,HR046
2021-03-02,HRV,Croatia,NOT SPECIFIED,,,,,235017,-235017,,,True,True,
2021-03-02,HRV,Croatia,Osječko-baranjska,45.56139,18.442456,15954,676,,15278,,,True,True,HR04B
2021-03-02,HRV,Croatia,Požeško-slavonska,45.404899,17.562893,2814,85,,2729,,,True,True,HR049
2021-03-02,HRV,Croatia,Primorsko-Goranska,45.367738,14.701448,17964,247,,17717,,,True,True,HR031
2021-03-02,HRV,Croatia,Šibensko-kninska,43.89492,16.07332,5897,96,,5801,,,True,True,HR034
2021-03-02,HRV,Croatia,Sisačko-moslavačka,45.365583,16.424137,9156,113,,9043,,,True,True,HR04E
2021-03-02,HRV,Croatia,Splitsko-Dalmatinska,43.613438,16.730085,30762,445,,30317,,,True,True,HR035
2021-03-02,HRV,Croatia,Varaždinska,46.250434,16.293818,14957,384,,14573,,,True,True,HR044
2021-03-02,HRV,Croatia,Virovitičko-podravska,45.831646,17.385543,3772,76,,3696,,,True,True,HR048
2021-03-02,HRV,Croatia,Vukovarsko-srijemska,45.179126,18.877963,7646,158,,7488,,,True,True,HR04C
2021-03-02,HRV,Croatia,Zadarska,44.347845,15.959404,8147,133,,8014,,,True,True,HR033
2021-03-02,HRV,Croatia,Zagrebačka,45.82762,16.381796,19347,10,,19337,,,True,True,HR042
2021-02-28,CYP,Cyprus,Cyprus,35.167406,33.435499,35009,281,30442,4286,934,,True,True,CY
2021-03-02,CZE,Czech Republic,NOT SPECIFIED,,,1269058,20941,1093537,154580,,,True,True,
2020-09-11,DNK,Denmark,Faroe,62.194921,-7.096614,0,0,,0,,,True,True,FRO
2020-09-11,DNK,Denmark,Greenland,71.702379,-42.177174,0,0,,0,,,True,True,GRL
2021-03-03,DNK,Denmark,Hovedstaden,55.675758,12.56902,,,,0,,,True,True,DK01
2021-03-03,DNK,Denmark,Mainland,56.031924,9.317572,,,,0,,,True,True,
2021-03-03,DNK,Denmark,Midtjylland,56.302139,9.302777,,,,0,,,True,True,DK04
2021-03-03,DNK,Denmark,Nordjylland,56.830742,9.493053,,,,0,,,True,True,DK05
2021-03-03,DNK,Denmark,NOT SPECIFIED,,,212798,2370,203433,6995,225,34,True,True,
2021-03-03,DNK,Denmark,Sjælland,55.92481,11.67126,,,,0,,,True,True,DK02
2021-03-03,DNK,Denmark,Syddanmark,55.675758,12.56902,,,,0,,,True,True,DK03
2021-03-03,EST,Estonia,Estonia,58.596209,25.023778,69193,615,,68578,,,True,True,EE0
2021-03-03,FIN,Finland,Ahvenanmaa,60.240625,19.966666,247,,,247,,,True,True,FI200
2021-03-03,FIN,Finland,Etelä-Karjala,61.217899,28.550289,498,,,498,,,True,True,FI1C5
2021-03-03,FIN,Finland,Etelä-Pohjanmaa,62.833356,23.05691,593,,,593,,,True,True,FI194
2021-03-03,FIN,Finland,Etelä-Savo,61.813578,27.347685,727,,,727,,,True,True,FI1D1
2021-03-03,FIN,Finland,HUS,60.408524,24.7817,34644,,,34644,,,True,True,FI1B1
