Date,iso3,Continent,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2019-12-31,CHN,AS,China,34.668138,104.165802,27,,,27,,,False,False
2020-01-01,CHN,AS,China,34.668138,104.165802,27,,,27,,,False,False
2020-01-02,CHN,AS,China,34.668138,104.165802,27,,,27,,,False,False
2020-01-03,CHN,AS,China,34.668138,104.165802,44,,,44,,,False,False
2020-01-04,CHN,AS,China,34.668138,104.165802,44,,,44,,,False,False
2020-01-05,CHN,AS,China,34.668138,104.165802,59,,,59,,,False,False
2020-01-06,CHN,AS,China,34.668138,104.165802,59,,,59,,,False,False
2020-01-07,CHN,AS,China,34.668138,104.165802,59,,,59,,,False,False
2020-01-08,CHN,AS,China,34.668138,104.165802,59,,,59,,,False,False
2020-01-09,CHN,AS,China,34.668138,104.165802,59,,,59,,,False,False
2020-01-10,CHN,AS,China,34.668138,104.165802,59,,,59,,,False,False
2020-01-11,CHN,AS,China,34.668138,104.165802,59,1,,58,,,False,False
2020-01-12,CHN,AS,China,34.668138,104.165802,59,1,,58,,,False,False
2020-01-13,CHN,AS,China,34.668138,104.165802,59,1,,58,,,False,False
2020-01-13,THA,AS,Thailand,13.036597,101.492515,1,,,1,,,False,False
2020-01-14,CHN,AS,China,34.668138,104.165802,59,1,,58,,,False,False
2020-01-14,THA,AS,Thailand,13.036597,101.492515,1,,,1,,,False,False
2020-01-15,CHN,AS,China,34.668138,104.165802,59,2,,57,,,False,False
2020-01-15,JPN,AS,Japan,34.886306,134.379711,1,,,1,,,False,False
2020-01-15,THA,AS,Thailand,13.036597,101.492515,1,,,1,,,False,False
2020-01-16,CHN,AS,China,34.668138,104.165802,59,2,,57,,,False,False
2020-01-16,JPN,AS,Japan,34.886306,134.379711,1,,,1,,,False,False
2020-01-16,THA,AS,Thailand,13.036597,101.492515,1,,,1,,,False,False
2020-01-17,CHN,AS,China,34.668138,104.165802,63,2,,61,,,False,False
2020-01-17,JPN,AS,Japan,34.886306,134.379711,1,,,1,,,False,False
2020-01-17,THA,AS,Thailand,13.036597,101.492515,2,,,2,,,False,False
2020-01-18,CHN,AS,China,34.668138,104.165802,80,2,,78,,,False,False
2020-01-18,JPN,AS,Japan,34.886306,134.379711,1,,,1,,,False,False
2020-01-18,THA,AS,Thailand,13.036597,101.492515,2,,,2,,,False,False
2020-01-19,CHN,AS,China,34.668138,104.165802,216,3,,213,,,False,False
2020-01-19,JPN,AS,Japan,34.886306,134.379711,1,,,1,,,False,False
2020-01-19,THA,AS,Thailand,13.036597,101.492515,2,,,2,,,False,False
2020-01-20,CHN,AS,China,34.668138,104.165802,235,3,,232,,,False,False
2020-01-20,JPN,AS,Japan,34.886306,134.379711,1,,,1,,,False,False
2020-01-20,KOR,AS,South Korea,35.901696,127.735889,1,,,1,,,False,False
2020-01-20,THA,AS,Thailand,13.036597,101.492515,2,,,2,,,False,False
2020-01-21,CHN,AS,China,34.668138,104.165802,386,6,,380,,,False,False
2020-01-21,JPN,AS,Japan,34.886306,134.379711,1,,,1,,,False,False
2020-01-21,KOR,AS,South Korea,35.901696,127.735889,1,,,1,,,False,False
2020-01-21,TWN,AS,Taiwan,21.901806,121.471,1,,,1,,,False,False
2020-01-21,THA,AS,Thailand,13.036597,101.492515,2,,,2,,,False,False
2020-01-21,USA,NA,United States of America,36.966428,-95.844032,1,,,1,,,False,False
2020-01-22,CHN,AS,China,34.668138,104.165802,526,17,,509,,,False,False
2020-01-22,JPN,AS,Japan,34.886306,134.379711,1,,,1,,,False,False
2020-01-22,KOR,AS,South Korea,35.901696,127.735889,1,,,1,,,False,False
2020-01-22,TWN,AS,Taiwan,21.901806,121.471,1,,,1,,,False,False
2020-01-22,THA,AS,Thailand,13.036597,101.492515,4,,,4,,,False,False
2020-01-22,USA,NA,United States of America,36.966428,-95.844032,1,,,1,,,False,False
2020-01-23,CHN,AS,China,34.668138,104.165802,623,17,,606,,,False,False
2020-01-23,JPN,AS,Japan,34.886306,134.379711,1,,,1,,,False,False
2020-01-23,KOR,AS,South Korea,35.901696,127.735889,1,,,1,,,False,False
2020-01-23,TWN,AS,Taiwan,21.901806,121.471,1,,,1,,,False,False
2020-01-23,THA,AS,Thailand,13.036597,101.492515,4,,,4,,,False,False
2020-01-23,USA,NA,United States of America,36.966428,-95.844032,1,,,1,,,False,False
2020-01-24,CHN,AS,China,34.668138,104.165802,882,26,,856,,,False,False
2020-01-24,FRA,EU,France,46.232193,2.209667,3,0,0,3,3,0,True,True
2020-01-24,JPN,AS,Japan,34.886306,134.379711,2,,,2,,,False,False
2020-01-24,SGP,AS,Singapore,1.364917,103.822872,3,,,3,,,False,False
2020-01-24,KOR,AS,South Korea,35.901696,127.735889,2,,,2,,,False,False
2020-01-24,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-01-24,TWN,AS,Taiwan,21.901806,121.471,1,,,1,,,False,False
2020-01-24,THA,AS,Thailand,13.036597,101.492515,4,,,4,,,False,False
2020-01-24,USA,NA,United States of America,36.966428,-95.844032,1,,,1,,,False,False
2020-01-24,VNM,AS,Vietnam,15.974222,105.806431,2,,,2,,,False,False
2020-01-25,AUS,OC,Australia,-26.853388,133.275155,1,,,1,,,False,False
2020-01-25,CHN,AS,China,34.668138,104.165802,1323,41,,1282,,,False,False
2020-01-25,FRA,EU,France,46.232193,2.209667,3,0,0,3,3,0,True,True
2020-01-25,JPN,AS,Japan,34.886306,134.379711,2,,,2,,,False,False
2020-01-25,MYS,AS,Malaysia,4.109319,109.455475,3,,,3,,,False,False
2020-01-25,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-01-25,SGP,AS,Singapore,1.364917,103.822872,3,,,3,,,False,False
2020-01-25,KOR,AS,South Korea,35.901696,127.735889,2,,,2,,,False,False
2020-01-25,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-01-25,TWN,AS,Taiwan,21.901806,121.471,3,,,3,,,False,False
2020-01-25,THA,AS,Thailand,13.036597,101.492515,5,,,5,,,False,False
2020-01-25,USA,NA,United States of America,36.966428,-95.844032,2,,,2,,,False,False
2020-01-25,VNM,AS,Vietnam,15.974222,105.806431,2,,,2,,,False,False
2020-01-26,AUS,OC,Australia,-26.853388,133.275155,4,,,4,,,False,False
2020-01-26,CAN,NA,Canada,62.393303,-96.818145,1,,,1,,,False,False
2020-01-26,CHN,AS,China,34.668138,104.165802,1988,56,,1932,,,False,False
2020-01-26,FRA,EU,France,46.232193,2.209667,3,0,0,3,3,0,True,True
2020-01-26,JPN,AS,Japan,34.886306,134.379711,3,,,3,,,False,False
