Date,iso3,Continent,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-07-28,AFG,AS,Afghanistan,33.930445,67.678945,36368,1270,,35098,,,0,0
2020-07-27,ALB,EU,Albania,41.156986,20.181222,4763,138,2682,1943,92,19,0,0
2020-07-28,DZA,AF,Algeria,28.026875,1.65284,27973,1163,,26810,,,0,0
2020-07-28,AND,EU,Andorra,42.542268,1.596865,907,52,,,,,0,0
2020-07-28,AGO,AF,Angola,-11.209451,17.880669,930,40,,890,,,0,0
2020-07-28,AIA,NA,Anguilla,18.22512,-63.07213,3,0,,3,,,0,0
2020-07-28,ATG,NA,Antigua and Barbuda,17.363183,-61.789423,86,3,,83,,,0,0
2020-07-28,ARG,SA,Argentina,-38.421295,-63.587403,162513,2956,,159557,,,0,0
2020-07-13,ARM,AS,Armenia,40.066181,45.111108,32490,581,20729,11180,1885,273,0,0
2020-07-28,ABW,NA,Aruba,12.517713,-69.965112,119,3,,116,,,0,0
2020-07-28,AUS,OC,Australia,-26.853388,133.275155,14935,161,,14774,,,0,0
2020-07-27,AUT,EU,Austria,47.697542,13.349319,20533,688,18246,1599,187,23,1,1
2020-07-28,AZE,AS,Azerbaijan,40.147396,47.572098,30446,423,,30023,,,0,0
2020-07-28,BHS,NA,Bahamas,24.885993,-76.709892,382,11,,371,,,0,0
2020-07-28,BHR,AS,Bahrain,26.039722,50.559306,39482,141,,39341,,,0,0
2020-07-28,BGD,AS,Bangladesh,23.68764,90.351002,226225,2965,,223260,,,0,0
2020-07-28,BRB,NA,Barbados,13.183551,-59.534649,110,7,,103,,,0,0
2020-07-28,BLR,EU,Belarus,53.711111,27.973847,67251,538,,,,,0,0
2020-07-26,BEL,EU,Belgium,50.499527,4.475402,66428,9822,,,210,47,1,1
2020-07-28,BLZ,NA,Belize,17.192929,-88.5009,48,2,,46,,,0,0
2020-07-28,BEN,AF,Benin,9.322048,2.313138,1770,35,,1735,,,0,0
2020-07-28,BMU,NA,Bermuda,32.320236,-64.774022,154,9,,145,,,0,0
2020-07-28,BTN,AS,Bhutan,27.515709,90.442455,99,0,,99,,,0,0
2020-07-28,BOL,SA,Bolivia,-16.28835,-63.549429,71811,2647,,69164,,,0,0
2020-07-28,BES,NA,"Bonaire, Saint Eustatius and Saba",12.160842,-68.304383,11,0,,11,,,0,0
2020-07-28,BIH,EU,Bosnia and Herzegovina,43.892652,17.670584,6131,132,0,5999,,,0,0
2020-07-28,BWA,AF,Botswana,-22.34403,24.680158,739,2,,737,,,0,0
2020-07-28,BRA,SA,Brazil,-14.242914,-53.189267,2442375,87618,,2354757,,,0,0
2020-07-28,VGB,NA,British Virgin Islands,18.573601,-64.492065,8,1,,7,,,0,0
2020-07-28,BGR,EU,Bulgaria,42.729862,25.491667,10621,347,5585,4689,,,1,1
2020-07-28,BFA,AF,Burkina Faso,12.24185,-1.55676,1100,53,,1047,,,0,0
2020-07-28,BDI,AF,Burundi,-3.387918,29.920395,378,1,,377,,,0,0
2020-07-28,KHM,AS,Cambodia,12.54775,104.98386,225,0,,225,,,0,0
2020-07-28,CMR,AF,Cameroon,7.365302,12.34344,16708,385,,16323,,,0,0
2020-07-28,CAN,NA,Canada,62.393303,-96.818145,114597,8901,,105696,,,0,0
2020-07-28,CYM,NA,Cayman Islands,19.512365,-80.580024,203,1,,202,,,0,0
2020-07-28,CAF,AF,Central African Republic,6.614041,20.941759,4599,59,,4540,,,0,0
2020-07-28,TCD,AF,Chad,15.445718,18.738068,922,75,,847,,,0,0
2020-07-28,CHL,SA,Chile,-36.711951,-73.601704,347923,9187,,338736,,,0,0
2020-07-28,CHN,AS,China,34.668138,104.165802,86783,4656,,82127,,,0,0
2020-07-28,COL,SA,Colombia,4.577317,-74.298973,257101,8777,,248324,,,0,0
2020-07-28,COM,AF,Comoros,,,340,7,,333,,,0,0
2020-07-28,CRI,NA,Costa Rica,9.624897,-84.253308,15841,115,,15726,,,0,0
2020-07-28,HRV,EU,Croatia,44.48732,16.460306,4924,138,0,4786,,,1,1
